confucius	[kənˈfjuːʃəs] n. 孔子
mansion	[ˈmænʃn] n. 公馆；宅第
cemetery	[ˈsemətri] n. 墓地；公墓
philosophy	[fəˈlɒsəfi] n. 哲学
descendant	[dɪˈsendənt] n. 后裔；后代；子孙
individual	[ˌɪndɪˈvɪdʒuəl] adj. 单独的；个别的 n. 个人
heel	[hi:l] n. 足跟；（脚、袜子、鞋等的）后跟
kingdom	[ˈkɪŋdəm] n. 王国；领域
puzzle	[ˈpʌzl] n. 迷；智力游戏；疑问 vt. 迷惑；使困惑
nearby	[ˌnɪəˈbaɪ] adj. 附近的；邻近的 adv. 在附近
break	[breɪk] away (from sb/sth)  脱离；背叛；逃脱
belong	[bɪˈlɒŋ] vi. 应在（某处）；适应
currency	[ˈkʌrənsi] n. 通货；货币
military	[ˈmɪlətri] adj. 军事的；军用的
defence	[dɪˈfens] n. 防御；保卫
legal	[ˈli:gl] adj. 法律的；合法的
surround	[səˈraʊnd] vt. 围绕；包围
evidence	[ˈevɪdəns] n. 证据；证明
achievement	[əˈtʃi:vmənt] n. 成就；成绩；达到
location	[ləʊˈkeɪʃn] n. 地方；地点；位置
conquer	[ˈkɒŋkə(r)] vt. 占领；征服；控制
battle	[ˈbætl] n. 战役；搏斗 vi. & vt. 搏斗；奋斗
port	[pɔ:t] n. 港口（城市）
fascinating	[ˈfæsɪneɪtɪŋ] adj. 极有吸引力的；迷人的
charge	[tʃɑ:dʒ] n. 收费；指控；主管  vt. 收费；控告；充电
announce	[əˈnaʊns] vt. 宣布；通知；声称
amount	[əˈmaʊnt] n. 金额；数量
gallery	[ˈgæləri] n. （艺术作品的）展览馆；画廊
approach	[əˈprəʊtʃ] n. 方法；途径；接近 vt. 接近；接洽；着手处理 vi. 靠近
ensure	[ɪn'ʃʊə(r)] vt. 保证；确保；担保
landscape	[ˈlændskeɪp] n. （陆上，尤指乡村的）风景
generous	[ˈdʒenərəs] adj. 慷慨的；大方的；丰富的
butter	[ˈbʌtə(r)] n. 黄油；奶油 vt. 涂黄油于
honey	[ˈhʌni] n. 蜂蜜
ancestor	[ˈænsestə(r)] n. 祖宗；祖先
position	[pəˈzɪʃn] n. 位置；姿态；职位
courtyard	[ˈkɔ:tjɑ:d] n. 庭院；院子
snack	[snæk] n. 点心；小吃
eager	[ˈi:gə(r)] adj. 热切的；渴望的
poet	[ˈpəʊɪt] n. 诗人
feast	[fi:st] n. 盛宴；宴会；节日
roll	[rəʊl] vi. & vt.（使）翻滚；（使）滚动 n. 卷（轴）；翻滚
dot	[dɒt] n. 点；小（圆）点 vt. 加点；遍布
cattle	[ˈkætl] n. 牛
roar	[rɔ:(r)] vi. & n. 吼叫；咆哮
ocean	[ˈəʊʃn] n. 大海；海洋
scent	[sent] n. 气味；气息
greet	[gri:t] vt. 问候；迎接
pub	[pʌb] n. 酒吧；酒馆
wine	[waɪn] n. 葡萄酒；果酒
beer	[bɪə(r)] n. （一杯）啤酒
stew	[stju:] n. 炖菜（有肉和蔬菜） vt. & vi. 炖；煨
custom	[ˈkʌstəm] n. 风俗；习俗；习惯
sensory	[ˈsensəri] adj. 感觉的；感官的
striking	[ˈstraɪkɪŋ] adj. 引人注目的；显著的
transition	[trænˈzɪʃn] n. 过渡；转变；变迁
crowd	[kraʊd] n. 人群；一群人；民众 vt. 挤满；使……拥挤
chief	[tʃi:f]adj. 最重要的；最高级别的 n. （公司或机构的）首领；酋长
to	...  把……和……连接或联结起来
belong to	属于
as well as	同（一样也）；和；还
keep your eyes open	(for)  留心；留意
