classical	[ˈklæsɪkl] adj. 古典的；经典的
hip-hop	['hɪph'ɒp] n. 嘻哈音乐；嘻哈文化
techno	[ˈteknəʊ] n. 泰克诺音乐（一种节奏快、通常无歌声相伴的音乐）
energy	[ˈenədʒi] n. 能源；能量；精力
bagpipes	[ˈbægpaɪps] n. [pl.] 风笛
stringed	[strɪŋd] adj. 有弦的
stringed instrument	[ˈɪnstrəmənt] 弦乐器
virtual	[ˈvɜ:tʃuəl] adj. 很接近的；事实上的；虚拟的
virtual choir	[ˈkwaɪə(r)] 虚拟合唱团
composition	[ˌkɒmpəˈzɪʃn] n. 成分；（音乐、艺术、诗歌的）作品
opportunity	[ˌɒpəˈtju:nəti] n. 机会；时机
perform	[pəˈfɔ:m] vi. & vt. 表演；履行；执行
performance	[pəˈfɔ:məns] n. 表演；演技；表现
performer	[pəˈfɔ:mə(r)] n. 表演者；演员
ordinary	[ˈɔ:dnri] adj. 普通的；平凡的
enable	[ɪˈneɪbl] vt. 使能够；使可能
prove	[pru:v] vt. 证明；展现
award	[əˈwɔ:d] vt. 授予 n. 奖品
composer	[kəmˈpəʊzə(r)] n. 作曲者；作曲家
conductor	[kənˈdʌktə(r)] n. （乐队、合唱团等的）指挥；（公共汽车的）售票员
original	[əˈrɪdʒənl] adj. 原来的；独创的；原作的 n. 原件；原作
phenomenon	[fəˈnɒmɪnən] (pl. phenomena) n. 现象
stage	[steɪdʒ] n. （发展或进展的）时期；阶段；（多指剧场中的）舞台
altogether	[ˌɔ:ltəˈgeðə(r)] adv. （用以强调）全部；总共
thus	[ðʌs] adv. 如此；因此
band	[bænd] n. 乐队；带子
rap	[ræp] n. 快速敲击；说唱音乐 vi. & vt. 敲击；（说唱歌中的）念白
nowadays	[ˈnaʊədeɪz] adv. 现在；目前
gradual	[ˈgrædʒuəl] adj. 逐渐的；渐进的
capable	[ ˈkeɪpəbl] adj. 有能力的；有才能的
relief	[rɪˈli:f] n. （焦虑、痛苦的）减轻或消除；（不快过后的）宽慰、轻松或解脱
cure	[kjʊə(r)] vt. 治愈；治好（疾病）；解决（问题） 
absorbed	[əbˈsɔ:bd] in sth/sb  被……吸引住；专心致志
previous	[ˈpri:viəs] adj. 先前的；以往的
unemployed	[ˌʌnɪmˈplɔɪd] adj. 失业的；待业的
romantic	[rəʊˈmæntɪk] adj. 浪漫的 n. 浪漫的人
album	[ˈælbəm] n. 相册；集邮簿；音乐专辑
impact	[ˈɪmpækt] n. 巨大影响；强大作用；冲击力
aim	[eɪm] n. 目的；目标 vi. & vt. 力求达到；力争做到；瞄准 vt. 目的是；旨在
equipment	[ɪˈkwɪpmənt] n. 设备；装备
talent	[ˈtælənt] n. 天才；天资；天赋
piano	[piˈænəʊ] n. 钢琴
assume	[əˈsju:m] vt. 以为；假设
addition	[əˈdɪʃn] n. 添加；加法；增加物
disease	[dɪˈzi:z] n. （疾）病
ache	[eɪk] vi. & n. 疼痛
treatment	[ˈtri:tmənt] n. 治疗；对待；处理
lean	[li:n] vt. (leant/leaned, leant/leaned) 依靠；倾斜
moreover	[mɔ:rˈəʊvə(r)] adv. 而且；此外
satisfaction	[ˌsætɪsˈfækʃn] n. 满足；满意；欣慰
various	[ˈveəriəs] adj. 各种不同的；各种各样的
rhetorical	[rɪˈtɒrɪkl] adj. 修辞的
metaphor	[ˈmetəfə(r)] n. 暗喻；隐喻
personification	[pəˌsɒnɪfɪˈkeɪʃn] n. 拟人；人格化；化身
repetition	[ˌrepəˈtɪʃn] n. 重复；重做
simile	[ˈsɪməli] n. 明喻
outline	[ˈaʊtlaɪn] n. & vt. 概述；概要
reaction	[riˈækʃn] n. 反应；回应
soul	[səʊl]n. 灵魂；心灵
onto	prep. （朝）向
fall in love with	爱上
in	sth/sb  被……吸引住；专心致志
set sth up	安装好（设备或机器）
try out	参加……选拔（或试演）
in addition	(to sb/sth)  除……以外（还）
from	(then) on  从（那）时起
get through	（设法）处理；完成
being	n. 身心；存在；生物
somehow	adv. 以某种方式（或方法）；不知怎么地
