astronaut	[ˈæstrənɔ:t] n. 宇航员；太空人
procedure	[prəˈsi:dʒə(r)] n. 程序；步骤；手续
mental	[ˈmentl] adj. 精神的；思想的
intelligent	[ɪnˈtelɪdʒənt] adj. 有智慧的；聪明的；有智力的
rocket	[ˈrɒkɪt] n. 火箭；火箭弹
gravity	[ˈgrævəti] n. 重力；引力
frontier	[ˈfrʌntɪə(r)] n. 边境；国界；边远地区
vehicle	[ˈvi:əkl] n. 交通工具；车辆
universe	[ˈju:nɪvɜ:s] n. 宇宙；天地万物
determined	[dɪˈtɜ:mɪnd] adj. 有决心的；意志坚定的
determine	[dɪˈtɜ:mɪn] vt. 查明；确定；决定
satellite	[ˈsætəlaɪt] n. 人造卫星；卫星
launch	[lɔ:ntʃ] vt. & n. 发射；发起；上市
orbit	[ˈɔ:bɪt] n. （环绕地球、太阳等运行的）轨道；势力范围 
giant	[ˈdʒaɪənt] adj. 巨大的；伟大的 n. 巨人；巨兽；伟人
leap	[li:p] n. 跳跃；剧增；剧变 (leapt, leapt or leaped, leaped) vi. & vt. 跳过；跃过
mankind	[mænˈkaɪnd] n. 人类
agency	[ˈeɪdʒənsi] n. （政府的）专门机构；服务机构；代理处
transmit	[trænsˈmɪt] vt. & vi. 传输；发送
data	[ˈdeɪtə] n. [pl.] 资料；数据
disappointed	[ˌdɪsəˈpɔɪntɪd] adj. 失望的；沮丧的
desire	[dɪˈzaɪə(r)] n. 渴望；欲望 vt. 渴望；期望
ongoing	[ˈɒngəʊɪŋ] adj. 持续存在的；仍在进行的；不断发展的
on board	[bɔ:d] 在宇宙飞船上；在船上；在飞机上
independently	[ˌɪndɪ'pendəntlɪ] adv. 独立地；自立地
independent	[ˌɪndɪˈpendənt] adj. 独立的；自立的
spacecraft	[ˈspeɪskrɑ:ft] n. 航天器；宇宙飞船
spacewalk	[ˈspeɪswɔ:k] n. 太空行走；太空行走的时间
jade	[dʒeɪd] n. 玉；翡翠；玉器
dock	[dɒk] vi. & vt. （两架航天器）对接；（使）……进港 n. 码头；船坞
signal	[ˈsɪgnəl] vt. & vi. 标志着；标明；发信号 n. 信号；标志
recycle	[ˌri:ˈsaɪkl] vt. 回收利用；再利用
muscle	[ˈmʌsl] n. 肌肉；实力；影响力
lack	[læk] n. 缺乏；短缺 vt. 没有；缺乏
float	[fləʊt] vi. 浮动；漂流；漂浮 vt. 使浮动；使漂流
otherwise	[ˈʌðəwaɪz] adv. 否则；要不然
beyond	[bɪˈjɑnd] prep. 在更远处；超出
solar	[ˈsoʊlə(r)] adj. 太阳的；太阳能的
solar system	[ˈsɪstəm] 太阳系；类太阳系
current	[ˈkʌrənt] adj. 当前的；现在的 n. 水流；电流；思潮
figure	[ˈfɪgjər] out  弄懂；弄清楚；弄明白
sufficient	[səˈfɪʃənt] adj. 足够的；充足的
soap	[soʊp] n. 肥皂
towel	[ˈtaʊəl] n. 毛巾；抹布
microwave	[ˈmaɪkrəˌwev] n. (also microwave oven) 微波炉
tissue	[ˈtɪʃu] n. 纸巾；（人、动植物细胞的）组织
facility	[fəˈsɪləti] n. 设施；设备
keen	[kin] adj. 热衷的；渴望的
globe	[gloʊb] n. 地球；世界；地球仪
argue	[ˈɑrgju] vt. & vi. 论证；争辩；争论
argument	[ˈɑrgjumənt] n. 争论；争吵；论点
fatal	[ˈfeɪtl] adj. 致命的；灾难性的
shallow	[ˈʃæloʊ] adj. 肤浅的；浅的
result	[rɪˈzʌlt] in  导致；造成
pattern	[ˈpætərn] n. 模式；图案；模范
analysis	[əˈnælɪsɪs] n. (pl. analyses)（对事物的）分析；分析结果
high-end	[ˈhaɪˈɛnd] adj. 高端的
monitor	[ˈmɒnɪtə(r)] n. 监视器；监测仪 vt. 监视；监测；监控
regularly	[ˈregjələrli] adv. 经常；定期地
regular	[ˈrɛɡjəlɚ] adj. 定期的；经常的；正常的
foam	[foʊm] n. 泡沫橡胶；泡沫
pillow	[ˈpɪloʊ] n. 枕头
resource	[ˈrisɔ:rs] n. 资源；财力；物力
limited	[ˈlɪmɪtɪd] adj. 有限的
provide	[prəˈvaɪd] for sb  提供生活所需
closing	[ˈkloʊzɪŋ] adj. 结尾的；结束的 n. 停业；关闭；倒闭
mystery	[ˈmɪstəri] n. 神秘事物；谜
attach	[əˈtætʃ] vt. 系；绑；贴
oxygen	[ˈɒksɪdʒən] n. 氧；氧气
cm	abbr. (centimetre or centimeter) 厘米
leapt or	leaped, leaped) vi. & vt. 跳过；跃过
carry on	继续做，坚持干
on	board [bɔ:d] 在宇宙飞船上；在船上；在飞机上
in the hope of doing sth	抱着……的希望
so as to	(do sth)  为了；以便
out	弄懂；弄清楚；弄明白
in	导致；造成
as a result	所以；结果（是）
smartphone	n. 智能手机
for sb	提供生活所需
in closing	最后
run out	用完；耗尽
