physiology	[ˌfɪziˈɑlədʒi] n. 生理学；生理机能
artemisinin	[,ɑːtɪ'miːsɪnɪn] n. [药] 青蒿素
crucial	[ˈkruʃəl] adj. 至关重要的；关键性的
malaria	[məˈleriə] n. 疟疾
vital	['vaɪtl] adj. 必不可少的；极其重要的；充满生机的
committed	[kəˈmɪtɪd] adj. 尽心尽力的；坚定的；坚信的
commit	[kəˈmɪt] v. 承诺；保证（某个人、机构等） vi. 忠于；全心全意投入（工作、活动等）
academy	[əˈkædəmi] n. （艺术、文学、科学等的）研究院；学会；专科院校
academic	[ˌækəˈdɛmɪk] adj. 学业的；学术的
objective	[əbˈdʒɛktɪv] n. 目标；目的 adj. 客观的
botanical	[bəˈtænɪkəl] adj. 植物学的
evaluate	[ɪˈvæljuˌet] vt. 评价；评估
property	[ˈprɑpərti] n. 性质；特征；财产
distinct	[dɪˈstɪŋkt] adj. 清晰的；清楚的；有区别的
extract	[ɪkˈstrækt] n. 提取物；摘录 	vt. 提取；提炼；摘录；（用力）拔出
wormwood	[ˈwɜrmwʊd] n. 蒿；洋艾
boil	[bɔɪl] vt. & vi. （使）沸腾；煮开；烧开 n. 沸腾；沸点
liquid	[ˈlɪkwɪd] n. 液体 adj. 液体的；液态的
obtain	[əbˈtein] vt. （尤指经努力）获得；赢得 vi. （规章、习俗等）存在；流行
acknowledge	[əkˈnɑlɪdʒ] vt. 承认（属实、权威等）；（公开）感谢
defeat	[dɪˈfit] n. 失败；挫败 vt. 击败；战胜
analyse	[ˈænəˌlaɪz] (NAmE -ze) vt. 分析
apparently	[ əˈpærəntli] adv. 显而易见；看来；显然
substance	[ˈsʌbstəns] n. 物质；物品；事实根据
insist	[ɪnˈsɪst] vi. & vt. 坚持；坚决要求
scientific	[ˌsaɪənˈtɪfɪk] adj. 科学（上）的；关于科学的
mostly	[ˈmoʊstli] adv. 主要地；一般地
wear	[wer] and tear [ter ] （正常使用造成的）磨损；损耗
conclusion	[kənˈkluʒən] n. 结论；推论
penicillin	[ˌpɛnɪˈsɪlɪn] n. 青霉素；盘尼西林
flee	[fli] vi. & vt. (fled, fled) 迅速离开；逃跑
circumstance	[ˈsɜrkəmstæns] n. [usually pl.] 条件；环境；状况
novelist	[ˈnɑvəlɪst] n. 小说家
novel	[ˈnɑvl] n. （长篇）小说
flow	[floʊ] n. 流；流动；流畅；供应 vi. 流；流动
chart	[tʃɑrt] n. 图表 vt. 记录；制订计划
found	[faʊnd] vt. 创建；建立；把……建立在
infer	[ɪnˈfɚ] vt. 推断；推定
politician	[ˌpɑləˈtɪʃn] n. 从政者；政治家；政客
numerous	[ˈnumərəs] adj. 众多的；许多的
theory	[ˈθɪri] n. 理论；学说
relativity	[ˌrɛləˈtɪvɪti] n. 相对论；相对性
formula	[ˈfɔrmjələ] n. 公式；方程式；配方
genius	[ˈdʒinjəs] n. (pl. geniuses) 天才；天资；天赋
gentle	[ˈdʒɛntl] adj. 温柔的；文静的
patent	[ˈpætnt , ˈpeɪtnt] n. 专利；专利证书；获得专利 adj. 有专利的；受专利保护的
passion	[ˈpæʃn] n. 酷爱；激情
doctorate	[ˈdɑktərət] n. 博士学位
extraordinary	[ɪkˈstrɔrdəneri] adj. 不一般的；非凡的；意想不到的
gradually	[ˈɡrædʒʊəlɪ] adv. 逐渐地；逐步地
photoelectric	[ˌfoʊtoʊɪˈlektrɪk] adj. 光电的
come to power	[ˈpaʊɚ] （开始）掌权；上台
institution	[ˌɪnstɪˈtuʃn] n. 社会公共机构；制度；习俗
institute	[ˈɪnstɪtut] n. （教育、专业等）机构；机构建筑
consequence	[ˈkɑnsəkwens] n. 结果；后果
take up a position	[pəˈzɪʃən] 担任；任职
moustache	[ˈmʌsˌtæʃ, məˈstæʃ] (especially US mustache) n. 上唇的胡子；髭
peculiarity	[pɪˌkjuliˈærɪti,-kjulˈjær-] n. 个性；特点；怪异的性质
encounter	[ɛnˈkaʊntɚ] vt. 偶然碰到；遇到 n. 邂逅；遭遇
professor	[prəˈfɛsɚ] n. 教授
mourn	[mɔrn] vt. &. vi. 哀悼；忧伤
remarkable	[rɪˈmɑrkəbl] adj. 非凡的；显著的
device	[dɪˈvaɪs] n. 方法；技巧；装置；仪器
sum	[sʌm] vi. 总结；概括 n. 金额；款项；总数；总和
draft	[dræft] n. 草稿；草案 vt. 起草；草拟
commit oneself to do	承诺；保证（做某事、遵守协议或安排等）
insist on	坚决要求
and	tear [ter ] （正常使用造成的）磨损；损耗
flow chart	流程图
sum up	总结；概括
