interaction	[ˌɪntɚˈækʃən] n. 交流；相互影响
vary	[ˈveəri] vi. （根据情况）变化；改变
appropriate	[əˈproʊpriət] adj. 合适的；恰当的
by contrast	[ˈkɑːntræst] 相比之下
approve	[əˈpruv] vi. 赞成；同意 vt. 批准；通过
demonstrate	[ˈdɛmənˌstret] vt. 表现；表达；说明；证明
gesture	[ˈdʒɛstʃɚ] n. 手势；姿势；姿态
witness	[ˈwɪtnɪs] vt. 当场看到；目击；见证 n. 目击者；证人
employ	[ɪmˈplɔɪ] vt. 使用；应用；雇用
identical	[aɪˈdɛntɪkəl] adj. 相同的
interpret	[ɪnˈtɜrprɪt] vt. 把……理解（解释）为 vi. & vt. 口译
differ	[ˈdɪfɚ] vi. 相异；不同于
by comparison	[kəmˈpærɪsən] （与……）相比较
cheek	[tʃik] n. 面颊；脸颊
favour	[ˈfevɚ] vt. 较喜欢；选择；有利于 n. 帮助；恩惠；赞同
bow	[boʊ] vi. 鞠躬；点头 vt. 低（头） n. 弓；蝴蝶结
waist	[west] n. 腰；腰部
make inferences	[ˈinfərənsiz] 推理；推断
barrier	[ˈbæriɚ] n. 隔阂；障碍
fake	[fek] adj. 假装的；假的；冒充的
anger	[ˈæŋɡɚ] n. 愤怒；怒气  vt. 使生气；激怒
reliable	[rɪˈlaɪəbəl] adj. 可靠的；可信赖的
incident	[ ˈɪnsɪdənt] n. 发生的事情；严重事件；冲突
trial	[ˈtraɪəl] n. & v. 审讯；审判；试验；试用
slight	[slaɪt] adj. 轻微的；略微的；细小的
twin	[twɪn] adj. 双胞胎之一的；孪生之一的 n. 孪生之一；双胞胎之一
nonverbal	[ˌnɒn'vɜbəl] adj. 不涉及言语的；非言语的
assessment	[əˈsɛsmənt] n. 评价；评定
assess	[əˈsɛs] vt. 评估；评价
internal	[ɪnˈtɜrnl] adj. 内部的；里面的
slump	[slʌmp] v. 垂头弯腰地走（或坐等）
pose	[poʊz] n. 故作姿态；（为画像、拍照等摆的）姿势 
bend	[bɛnd] vt. & vi. (bent, bent) （使）弯曲；倾斜；偏向
reveal	[rɪˈvil] vt. 揭示；显示；露出
clarify	[ˈklærəˌfaɪ] vt. 使更清晰易懂；阐明；澄清
tick	[tɪk] vt. 给（试卷、问题等）打钩号 vi.（钟表）发出嘀嗒声 n. 钩号
tendency	[ˈtɛndənsi] n. 趋势；倾向
lower	[ˈloʊə(r)] vt. 把……放低；降低；减少 adj. 下面的；下方的；较小的
imply	[ɪmˈplaɪ] vt. 意味着；暗示
barely	[ˈberli] adv. 几乎不；勉强才能；刚刚
chin	[tʃɪn] n. 下巴
occupy	[ˈɒkjupaɪ] vt. 占据；占用
stare	[ster] vi. 盯着看；凝视 n. 凝视
ceiling	[ˈsilɪŋ] n. 天花板；上限
distract	[dɪˈstrækt] vt. 分散（注意力）；使分心
perceive	[pərˈsi:v] vt. 察觉；看待；理解
distinguish	[dɪˈstɪŋɡwɪʃ] vi. & vt. 区分；辨别
anxiety	[æŋˈzaɪəti] n. 焦虑；担心；害怕
chest	[tʃɛst] n. 胸部；胸膛
embarrassed	[ɪmˈbærəst] adj. 难堪的；尴尬的
ashamed	[əˈʃemd] adj. 羞愧；惭愧
merely	[ˈmɪrli] adv. 只是；仅仅；只不过
bother	[ˈbɒðə(r)] vi. & vt. 费心；麻烦；因……操心 n. 麻烦；不便
weep	[wip] vi. & vt. 哭泣；流泪
conflict	[ˈkɑnflɪkt] n. 矛盾；冲突 vi. 冲突；抵触
inquire	[ɪnˈkwaɪr] (=enquire) vi. & vt. 询问；打听
ultimately	[ˈʌltɪmətli] adv. 最终；最后
adjust	[əˈdʒʌst] vt. 调整；调节 vi. & vt. 适应；（使）习惯
intervene	[ˌɪntərˈvin] vi. 干预；介入
react	[riˈækt] vi. （对……）起反应；回应；（对食物等）有不良反应
component	[kəmˈpoʊnənt] n. 组成部分；零件
tone	[toʊn] n. 语气；腔调；口吻
by	comparison [kəmˈpærɪsən] （与……）相比较
make	inferences [ˈinfərənsiz] 推理；推断
break down	消除；分解；打破
slightly	adv. 略微；稍微
up	直起来；整理；收拾整齐
in other words	换句话说；也就是说
call on	（短暂地）访问；要求（某人讲话等）；正式邀请
at work	有某种影响；在工作
