precise	[prɪˈsaɪs] adj. 准确的；精确的
realistic	[ˌri:əˈlɪstɪk] adj. 现实的；逼真的
realism	[ˈri:əlɪzəm] n. 逼真；现实主义；务实作风
realist	[ˈri:əlɪst] n. 现实主义画家（或作家等）；现实主义者
primitive	[ˈprɪmətɪv] adj. 发展水平低的；原始的；远古的 n. 文艺复兴前的艺术家（或作品）
two-dimensional	[dɪ'menʃənəl] adj. 二维的
dimension	[daɪˈmenʃn] n. 维；规模；范围
in particular	[pəˈtɪkjələ(r)] 尤其；特别
set apart	[əˈpɑ:t] from  使与众不同；使突出；使优于……
humanistic	[ˌhju:mə'nɪstɪk] adj. 人文主义的
breakthrough	[ˈbreɪkθru:] n. 重大进展；突破
influential	[ˌɪnfluˈenʃl] adj. 有很大影响力的；有支配力的
reputation	[ˌrepjuˈteɪʃn] n. 名誉；名声
noble	[ˈnəʊbl] n. 贵族成员；出身高贵的人 adj. 崇高的；宏伟的；高贵的
rank	[ræŋk] n. 地位；级别；行列 vt. & vi. 把……分等级；使排成行
purchase	[ˈpɜ:tʃəs] vt. 购买；采购 n. 购买；购买的东西
mythology	[mɪˈθɒlədʒi] n. 神话；虚幻的想法
client	[ˈklaɪənt] n. 委托人；当事人；客户
photography	[fəˈtɒgrəfi] n. 照相术；摄影
emerge	[iˈmɜ:dʒ] vi. & vt. 出现；浮现；暴露
sunrise	[ˈsʌnraɪz] n. 日出
convey	[kənˈveɪ] vt. 表达；传递（思想、感情等）；传送
subjective	[səbˈdʒektɪv] adj. 主观的
outer	[ˈaʊtə(r)] adj. 外表的；外边的；外围的
subsequent	[ˈsʌbsɪkwənt] adj. 随后的；后来的；之后的
fond	[fɒnd] adj. 喜爱
sculpture	[ˈskʌlptʃə(r)] n. 雕像；雕刻品；雕刻术
sculptor	[ˈskʌlptə(r)] n. 雕刻家；雕塑家
visual	[ˈvɪʒuəl] adj. 视觉的；视力的
pond	[pɒnd] n. 池塘；水池
investment	[ɪnˈvestmənt] n. 投资额；投资；（时间、精力的）投入
bride	[braɪd] n. 新娘
permanent	[ˈpɜ:mənənt] adj. 永久的；永恒的；长久的
memorial	[məˈmɔ:riəl] n. 纪念碑（或像等）；纪念物；纪念品 adj. 纪念的；悼念的
humble	[ˈhʌmbl] adj. 谦逊的；虚心的；卑微的
criticise	['krɪtɪsaɪz] (NAmE -ize)  vi. & vt. 批评；指责；评价
criticism	[ˈkrɪtɪsɪzəm] n. 批评；指责；评论
representative	[ˌreprɪˈzentətɪv] adj. 典型的；有代表性的 n. 代表
ink	[ɪŋk] n. 墨水；墨汁；油墨
animation	[ˌænɪˈmeɪʃn] n. （电脑、录像）动画制作；动画片
frame	[freɪm] n. 画面；框架 vt. 给……镶框；陷害
symphony	[ˈsɪmfəni] n. 交响乐；交响曲
decline	[dɪˈklaɪn] n. （数量、价格、质量等的）减少；下降；衰落 
exhibition	[ˌeksɪˈbɪʃn] n. 展览；（技能、感情或行为的）表演
bronze	[brɒnz] n. 青铜；深红褐色 adj. 青铜色的；深红褐色的
ceramic	[səˈræmɪk] n. 陶瓷制品；制陶艺术
vase	[vɑ:z] n. 花瓶；装饰瓶
artistic	[ɑ:ˈtɪstɪk] adj. 艺术的；艺术家的
entry	[ˈentri] n. 加入；进入；参与
civil	[ˈsɪvl] adj. 国民的；民用的；民事的
recognition	[ˌrekəgˈnɪʃn] n. 承认；认出；赞誉
buddhist	['bʊdɪst] adj. 佛教的 n. 佛教徒
buddhism	[ˈbʊdɪzəm] n. 佛教
expansion	[ɪkˈspænʃn] n. 扩张；扩展；扩大
guarantee	[ˌgærənˈti:] vt. 保证；确保；肯定……必然发生 n. 保证；保修单；担保物
contemporary	[kənˈtemprəri] adj. 当代的；现代的；属同时期的 n. 同代人；同辈人
worthy	[ˈwɜ:ði] adj. 值得……的；有价值的
precisely	adv. 准确地；精确地；的确如此
christianity	ˌkrɪstiˈænəti]  n. 基督教
set	apart [əˈpɑ:t]  from  使与众不同；使突出；使优于……
humanity	n. 人性；人道；（统称）人类
be fond of	喜爱；喜欢
fine art	(also fine arts)  美术（尤其绘画和雕刻）
water lily	n. 睡莲
arched	[ɑ:tʃt]adj. 拱形的；弓形的
arch	vt. & vi. 呈弧形横跨；（使）成弓形 n. 拱；拱形结构；拱门
name	-ize)  vi. & vt. 批评；指责；评价
bring	... to life  赋予……生命；使……鲜活起来
be worthy of	值得
