tobacco	[təˈbækəʊ] n. 烟草；烟叶
alcohol	[ˈælkəhɒl] n. 酒；酒精
abuse	[əˈbju:s] n. 滥用；虐待；辱骂 vt. 滥用；虐待；辱骂
physical	[ˈfɪzɪkl] adj. 身体的；客观存在的；物理学的
dominate	[ˈdɒmɪneɪt] vt. & vi. 支配；控制；占有优势
repeatedly	[rɪ'pi:tɪdlɪ] adv. 重复地
psychology	[saɪˈkɒlədʒi] n. 心理学；心理；心理影响
cue	[kju:] n. 提示；暗示；信号 vt. 给（某人）暗示（或提示）
in response	[rɪˈspɒns] to  回答；答复
reward	[rɪˈwɔ:d] n. 回报；奖励；报酬 vt. 奖励；奖赏；给以报酬
rely	[rɪˈlaɪ] vi. 依赖；依靠；信赖
facilitate	[fəˈsɪlɪteɪt] vt. 促进；促使；使便利
examine	[ɪgˈzæmɪn] vt. （仔细）检查；审查；测验
negative	[ˈnegətɪv] adj. 消极的；有害的；否定的
escalator	[ˈeskəleɪtə(r)] n. 自动扶梯；滚梯
straight	[streɪt] away  立即；马上
pessimistic	[ˌpesɪˈmɪstɪk] adj. 悲观的；悲观主义的
discipline	[ˈdɪsəplɪn] n. 自制力；纪律；学科 vt. 自我控制；管教；处罚
pill	[pɪl] n. 药丸；药片
delete	[dɪˈli:t] v. 删去；删除
compose	[kəmˈpəʊz] vt. & vi. 组成；作曲；撰写
surgeon	[ˈsɜ:dʒən] n. 外科医生
surgery	[ˈsɜ:dʒəri] n. 外科手术；外科学
liberation	[ˌlɪbə'reɪʃn] n. 解放；摆脱
shave	[ʃeɪv] vi., vt. & n. 剃（须发）；刮脸
beard	[bɪəd] n. 胡须；络腮胡子
disturb	[dɪˈstɜ:b] vt. 打扰；搅乱；使烦恼
cigarette	[ˌsɪgəˈret] n. 香烟；卷烟
specialist	[ˈspeʃəlɪst] n. 专科医生；专家
consultant	[kənˈsʌltənt] n. 顾问；高级顾问医师
drug	[drʌg] n. 毒品；药物
skip	[skɪp] vt. 跳过；不参加；悄悄溜走 vi. 蹦蹦跳跳地走；跳绳 n. 蹦跳
dizzy	[ˈdɪzi] adj. 头晕目眩的
flu	[flu:] n. 流感
stimulate	[ˈstɪmjuleɪt] vt. 激发；促进；刺激
dentist	[ˈdentɪst] n. 牙科医生
sugary	[ˈʃʊgəri] adj. 含糖的；甜的
nut	[nʌt] n. 坚果
skateboard	[ˈskeɪtbɔ:d] n. 滑板 vi. 滑滑板
dynamic	[daɪˈnæmɪk] adj. 充满活力的；精力充沛的；动态的
stressed	[strest] out  焦虑不安；心力交瘁
worn	[wɔ:n] out  筋疲力尽的；疲惫的
comedy	[ˈkɒmədi] n. 喜剧；喜剧片；滑稽节目
monthly	[ˈmʌnθli] adv. & adj. 每月；每月一次的 n. 月刊
enhance	[ɪnˈhɑ:ns] vt. 提高；增强；增进
refresh	[rɪˈfreʃ] vt. 使恢复精力；使凉爽；刷新
absorb	[əbˈsɔ:b] vt. 吸引全部注意力；吸收
in	response [rɪˈspɒns]  to  回答；答复
rely on	依赖；依靠；信赖
away	立即；马上
decide on	决定；选定
make up	one’s mind  下定决心
be composed of	由……组成（或构成）的
shave off	剃掉；刮去
