teenage	[ˈti:neɪdʒ] adj. 十几岁的（指13至19岁）；青少年的
teenager	[ˈti:neɪdʒə(r)] n. （13至19岁之间的）青少年
ballet	[ˈbæleɪ] n. 芭蕾舞
volunteer	[ˌvɒlənˈtɪə(r)] n. 志愿者
debate	[dɪˈbeɪt] n. 辩论；争论 vt. & vi. 辩论；争论
prefer	[prɪˈfɜ:(r)] vt. 较喜欢
content	['kɒntent] n. 内容；[pl.] 目录；（书、讲话、节目等的）主题
movement	[ˈmu:vmənt] n. 动作；运动；活动
greenhouse	[ˈgri:nhaʊs] n. 温室；暖房
suitable	[ˈsu:təbl] adj. 合适的；适用的
challenge	[ˈtʃæləndʒ] n. 挑战；艰巨任务 vt. 怀疑；向……挑战
title	[ˈtaɪtl] n. （书、诗歌等的）名称；标题；职称；头衔
topic	[ˈtɒpɪk] n. 话题；标题
freshman	[ˈfreʃmən] n. (especially NAmE) （中学）九年级学生；（大学）一年级新生
confusing	[kənˈfju:zɪŋ] adj. 难以理解的；不清楚的
confuse	[kənˈfju:z] vt. 使糊涂；使迷惑
confused	[kənˈfju:zd] adj. 糊涂的；迷惑的
fluent	[ˈflu:ənt] adj. （尤指外语）流利的；熟练的
graduate	[ˈgrædʒuət] vi. & vt. 毕业；获得学位 n. 毕业生
recommend	[ˌrekəˈmend] vt. 建议；推荐；介绍
sign	[saɪn] up (for sth)  报名（参加课程）
advanced	[ədˈvɑ:nst] adj. 高级的；高等的；先进的
advance	[ədˈvɑ:ns] n. 前进；发展 vi. 前进；发展 vt. 发展；促进
literature	[ˈlɪtrətʃə(r)] n. 文学；文学作品
extra-curricular	['ekstrə kə'rɪkjələ(r)] adj. 课外的；课程以外的
obviously	[ˈɒbviəsli] adv. 显然；明显地
quit	[kwɪt] vi. & vt. (quit, quit) 停止；戒掉；离开（工作职位、学校等）
responsible	[rɪˈspɒnsəbl] adj. 负责的；有责任的
responsibility	[rɪˌspɒnsəˈbɪləti] n. 责任；义务
solution	[səˈlu:ʃn] n. 解决办法；答案
editor	[ˈʃedju:l] n. 主编；编辑；编者
plate	[pleɪt] n. 盘子；碟子
adventure	[ədˈventʃə(r)] n. 冒险；奇遇
youth	[ju:θ] n. 青年时期；青春
survival	[səˈvaɪvl] n. 生存；幸存；幸存事物
expert	[ˈekspɜ:t] n. 专家；行家 adj. 熟练的；内行的；专家的
behaviour	[bɪˈheɪvjə(r)] n. 行为；举止
generation	[ˌdʒenəˈreɪʃn] n. 一代（人）
attract	[əˈtrækt] vt. 吸引；引起……的注意（或兴趣）
focus	[ˈfəʊkəs] vi. & vt. 集中（精力、注意力等）；（使）调节焦距 n. 重点；焦点
addicted	[əˈdɪktɪd] adj. 有瘾的；上瘾的；入迷的
adult	[ˈædʌlt] n. 成年人 adj. 成年的；成熟的
clean up	打扫（或清除）干净
suitable for	对……适合的
especially	NAmE) （中学）九年级学生；（大学）一年级新生
up	(for sth)  报名（参加课程）
extra	adj. 额外的；附加的
be responsible for	对……负责
schedule	n. 工作计划；日程安排 vt. 安排；预定
be attracted to	喜爱
focus on	集中；特别关注
addict	n. 对……入迷的人；吸毒成瘾的人
addicted to	对……很入迷
