adversity	[ədˈvɜ:səti] n. 困境；逆境
wage	[weɪdʒ] n. 工资
bitter	[ˈbɪtə(r)] adj. 严寒的；激烈而不愉快的；味苦的
expedition	[ˌekspəˈdɪʃn] n. 探险；远征；探险队
endurance	[ɪnˈdjʊərəns] n. 忍耐力；耐久力
vigour	[ˈvɪgə(r)] (NAmE vigor)  n. 精力；力量；活力
qualified	[ˈkwɒlɪfaɪd] adj. 符合资格；具备……的知识（或技能、学历等）
enthusiastic	[ɪnˌθju:ziˈæstɪk] adj. 热情的；热心的
aboard	[əˈbɔ:d] adv. & prep. 上（船、飞机、公共汽车等）
cupboard	[ˈkʌbəd] n. 橱柜；壁橱；衣柜
assign	[əˈsaɪn] vt. 分派；布置；分配
steward	[ˈstju:əd] n. （轮船、飞机或火车上的）乘务员；服务员
envy	[ˈenvi] n. & vt. 羡慕；妒忌
crush	[krʌʃ] vt. 毁坏；压坏；压碎 n. 拥挤的人群
sink	[sɪŋk] vi. (sank or sunk, sunk) 沉没；下沉；下降 vt. 使下沉；使沉没
abandon	[əˈbændən] vt. 舍弃；抛弃；放弃
stove	[stəʊv] n. 炉具；厨房灶具
blanket	[ˈblæŋkɪt] n. 毯子
belongings	[bɪˈlɒŋɪŋz] n. [pl.] 财物；动产
banjo	[ˈbændʒəʊ] n. 班卓琴（乐器）
miserable	[ˈmɪzrəbl] adj. 痛苦的，令人难受的
voyage	[ˈvɔɪɪdʒ] n. & vi. 航海；航行
navy	[ˈneɪvi] n. 海军；海军部队
decent	[ˈdi:snt] adj. 相当不错的；正派的；得体的
cosy	['kəʊzɪ] adj. 温馨的；舒适的
selfish	[ˈselfɪʃ] adj. 自私的
bad-tempered	['tempəd] adj. 脾气好的/坏的
genuine	[ˈdʒenjuɪn] adj. 真正的；真诚的；可信赖的
perseverance	[ˌpɜ:sɪˈvɪərəns] n. 毅力；韧性；不屈不挠的精神
persevere	[ˌpɜ:sɪˈvɪə(r)] vi. 坚持；孜孜以求
resolve	[rɪˈzɒlv] vi. & vt. 决定；决心；解决（问题或困难） n. 决心；坚定的信念
resolution	[ˌrezəˈlu:ʃn] n. 决议；解决；坚定
crew	[kru:] n. （轮船、飞机等上面的）全体工作人员；专业团队；一群人
cruel	[kru:əl] adj. 残酷的；残忍的；冷酷的
thorough	[ˈθʌrə] adj. 深入的；彻底的；细致的
furniture	[ˈfɜ:nɪtʃə(r)] n. 家具
unfortunately	[ʌnˈfɔ:tʃənətli] adv. 不幸地；遗憾地
bark	[bɑ:k] vi. & n. （狗）吠叫；吠叫声
bat	[bæt] n. 球拍；蝙蝠 vi. & vt. 用球板击球；挥打；拍打
damp	[dæmp] adj. 潮湿的；湿气重的
recreation	[ ˌriːkriˈeɪʃn] n. 娱乐；消遣；游戏
guidance	[ˈgaɪdns] n. 指导；引导；导航
nephew	[ˈnefju:] n. 侄子；外甥
advertising	[ˈædvətaɪzɪŋ] n. 广告活动；广告业
advertise	[ˈædvətaɪz] vt. & vi. 公布；宣传；做广告
corporate	[ˈkɔ:pərət] adj. 公司的；法人的；社团的
rough	[rʌf] adj. 汹涌的；粗糙的；粗略的
navigator	[ˈnævɪgeɪtə(r)] n. 领航员；（飞机、船舶等上的）航行者
loyal	[ˈlɔɪəl] adj. 忠诚的；忠实的
motor	[ˈməʊtə(r)] n. 发动机；马达 adj. 有引擎的；机动车的
candidate	[ˈkændɪdət] n. 候选人；应试者
episode	[ˈepɪsəʊd] n. （人生的）一段经历；（小说的）片段；插曲
commitment	[kəˈmɪtmənt] n. 承诺；保证；奉献
motive	[ˈməʊtɪv] n. 动机；原因；目的
confucianism	[kənˈfju:ʃənizm] n. 孔子学说；儒家（学说）
name	vigor)  n. 精力；力量；活力
turn sb down	拒绝（某人）
fortunately	adv. 幸运地
make fire	生火
give off	放出（热、光、气味或气体）
