heritage	[ˈhɛrɪtɪdʒ] n. 遗产（指国家或社会长期形成的历史、传统和特色）
creatively	[krɪˈetɪvlɪ] adv. 创造性地；有创造力地
creative	[kriˈetɪv] adj. 创造性的；有创造力的；有创意的
temple	[ˈtɛmpəl] n. 庙；寺
relic	[ˈrɛlɪk] n. 遗物；遗迹
mount	[maʊnt] n. 山峰 vt. 爬上；骑上 vi. 爬；登上
former	[ˈfɔrmə(r)] adj. 以前的；（两者中）前者的
clue	[klu] n. 线索；提示
preserve	[prɪˈzɜrv] vt. 保存；保护；维持 n. 保护区
promote	[prəˈmoʊt] vt. 促进；提升；推销；晋级
cypress	[ˈsaɪprɪs] n. 柏树
app	[æp] n. 应用程序；应用软件（application的缩略形式）
application	[ˌæplɪˈkeʃən] n. 申请（表）；用途；运用；应用（程序）
balance	[ˈbæləns] n. 平衡；均匀 vt. 使平衡
lead	[lid] to  导致
dam	[dæm] n. 水坝；拦河坝
proposal	[prəˈpoʊzl] n. 提议；建议
protest	[ˈproʊtest] n. 抗议 vi. & vt. （公开）反对；抗议
likely	[ˈlaɪkli] adj. 可能的 adv. 可能地
committee	[kəˈmɪti] n. 委员会
establish	[ɪˈstæblɪʃ] vt. 建立；创立
limit	[ˈlɪmɪt] n. 限度；限制 vt. 限制；限定
prevent	[prɪˈvɛnt] vt. 阻止；阻碍；阻挠
loss	[lɔs] n. 丧失；损失
contribution	[ˌkɒntrɪˈbju:ʃn] n. 捐款；贡献；捐赠
contribute	[kənˈtrɪbjut] vi. & vt. 捐献；捐助
department	[dɪˈpɑrtmənt] n. 部；司；科
fund	[fʌnd] n. 基金；专款
within	[wɪˈðɪn] prep. & adv. 在（某段时间、距离或范围）之内
investigate	[ɪnˈvestɪgeɪt] vi. & vt. 调查；研究
issue	[ ˈɪʃuː] n. 重要议题；争论的问题 vt. 宣布；公布
conduct	[ kənˈdʌkt] n. 行为；举止；管理方法 vt. 组织；安排；带领
document	[ˈdɒkjumənt] n. 文件；公文；（计算机）文档 vt. 记录；记载（详情）
donate	[ˈdoʊneɪt] vt. （尤指向慈善机构）捐赠；赠送；献（血）
disappear	[ˌdɪsəˈpɪr] vi. 消失；灭绝；消亡
attempt	[əˈtɛmpt] n. & vt. 企图；试图；尝试
worthwhile	[ˌwɜrθˈwaɪl] adj. 值得做的；值得花时间的
download	[ˌdaʊnˈloʊd] vt. 下载 n. 下载；已下载的数据资料
republic	[rɪˈpʌblɪk] n. 共和国
professional	[prəˈfɛʃənəl] adj. 专业的；职业的 n. 专业人员；职业选手
archaeologist	[ˌɑrkɪˈɑlədʒɪst] n. 考古学家
entrance	[ˈentrəns] n. 入口；进入
pyramid	[ˈpɪrəmɪd] n. （古埃及的）金字塔；棱锥体
process	[ˈproʊses] n. 过程；进程；步骤 vt. 处理；加工
overseas	[ˌoʊvərˈsiz] adj. 海外的 adv. 在海外
exit	[ˈeksɪt] n. 出口；通道 vi. & vt. 出去；离去
sheet	[ʃit] n. 一张（纸）；床单；被单
parade	[ pəˈreɪd] n. 游行；检阅 vi. 游行庆祝；游行示威
mirror	[ˈmɪrɚ] n. 镜子
roof	[ru:f] n. 顶部；屋顶
dragon	[ˈdræɡən] n. 龙
forgive	[fərˈgɪv] vt. & vi. (forgave, forgiven) 原谅；宽恕 vt. 对不起；请原谅
digital	[ˈdɪdʒɪtl] adj. 数码的；数字显示的
image	[ˈɪmɪdʒ] n. 形象；印象
cave	[keɪv] n. 山洞；洞穴
throughout	[ θruˈaʊt] prep. 各处；遍及；自始至终
quality	[ˈkwɑləti] n. 质量；品质；素质；特征 adj. 优质的；高质量的
tradition	[trəˈdɪʃən] n. 传统；传统的信仰或风俗
further	[ˈfɜrðə(r)] adv. (far的比较级) 更远；进一步
historic	[hɪˈstɔrɪk] adj. 历史上著名（或重要）的；有史时期的
opinion	[əˈpɪnjən] n. 意见；想法；看法
quote	[kwoʊt] vt. 引用
paraphrase	[ˈpærəˌfrez] n., vi. & vt.（用更容易理解的文字）解释
comparison	[kəmˈpærɪsən] n. 比较；相比
contrast	[ˈkɒntrɑːst] n. 对比；对照 vt. 对比；对照
identify	[aɪˈdentɪfaɪ] vt. 确认；认出；找到
forever	[fərˈevə(r)] adv. 永远；长久地
take part in	参与（某事）；参加（某活动）
give way to	让步；屈服
keep balance	保持平衡
to	导致
make a proposal	提出建议
turn to	向……求助
make sure	确保；设法保证
chiwen	n. 鸱吻
all over the world	在世界各地
