poster	[ˈpoʊstə(r)] n. 海报
illegal	[ɪˈliɡəl] adj. 不合法的；非法的
hunt	[hʌnt] vt. & vi. 打猎；搜寻；追捕
hunter	[ˈhʌntɚ] n. 猎人
immediately	[ɪˈmiːdiətli] adv. 立刻
species	[ˈspi:ʃi:z] n. 物种
shark	[ʃɑrk] n. 鲨鱼
fin	[fɪn] n. （鱼的）鳍
alarming	[əˈlɑrmɪŋ] adj. 惊人的；使人惊恐的
rate	[ret] n. 速度；（比）率 vt. 划分等级
extinct	[ɪkˈstɪŋkt] adj. 已灭绝的
extinction	[ɪkˈstɪŋkʃən] n. 灭绝
mass	[mæs] adj. 大量的；广泛的 n. 大量；堆；群
habitat	[ˈhæbɪˌtæt] n. （动植物的）生活环境；栖息地
aware	[əˈwer] adj. 知道；发觉；有……意识的
endanger	[ɪnˈdeɪndʒə(r)] vt. 使遭受危险；危害
average	[ˈævərɪdʒ] n. 平均数；平均水平 adj. 平均的；正常的；普通的
prince	[prɪns] n. 王子；王孙；亲王
make progress	[ˈprəʊgres] 取得进步
concern	[kənˈsɜ:n] vt. 涉及；让……担忧
concerned	[kənˈsɜ:nd] adj. 担心的；关切的
adapt	[əˈdæpt] vi. 适应 vt. 使适应；使适合
measure	[ˈmeʒə(r)] n. 措施；方法 vt. 测量；度量；估量
authority	[ɔ:ˈθɒrəti] n. 官方；当权；权威
pressure	[ˈpreʃə(r)] n. 压力；要求
whale	[weɪl] n. 鲸
antelope	[ˈæntɪləʊp] n. 羚；羚类动物
tibetan	[tɪ'betn] antelope  藏羚羊
reserve	[rɪˈzɜ:v] n. （动植物）保护区；储藏（量） vt. 预订；预留；保留
plain	[pleɪn] n. 平原 adj. 简单明了的；直率的；平凡的
herd	[hɜ:d] n. 牧群；兽群
observe	[əbˈzɜ:v] vt. 观察（到）；注视；遵守
beauty	[ˈbju:ti] n. 美；美人；美好的东西
remind	[rɪˈmaɪnd] vt. 提醒；使想起
fur	[fɜ:(r)] n. 毛（皮）；毛皮衣服
sacred	[ˈseɪkrɪd] adj. 神圣的；受尊敬的
shoot	[ʃu:t] vt. & vi. (shot, shot) 射杀；射伤；发射
profit	[ˈprɒfɪt] n. 利润；利益
attack	[əˈtæk] n., vi. & vt. 攻击；抨击
effective	[ɪˈfektɪv] adj. 有效的；生效的
recover	[rɪˈkʌvə(r)] vi. 恢复；康复 vt. 找回；寻回
remove	[rɪˈmu:v] vt. 去除；移开；脱去
intend	[ɪnˈtend] vi. & vt. 打算；计划；想要
threat	[θret] n. 威胁
threaten	[ˈθretn] vt. 威胁；危及
exist	[ɪgˈzɪst] vi. 存在；生存
harmony	[ˈhɑ:məni] n. 和谐；融洽 
goods	[gʊdz] n. 商品；货物
creature	[ˈkri:tʃə(r)] n. 生物；动物
deer	[dɪə(r)] n. 鹿
kangaroo	[ˌkæŋgəˈru:] n. 袋鼠
reduce	[rɪˈdju:s] vt. 减少
insect	[ˈɪnsekt] n. 昆虫
neighbourhood	[ˈneɪbəhʊd] n. 临近的地方；街区
binoculars	[bɪˈnɒkjələz] n. 双筒望远镜
bird field	[fi:ld] guide  [gaɪd] 鸟类图鉴
search	[sɜ:tʃ] for  搜索；查找
dolphin	[ˈdɒlfɪn] n. 海豚
yangtze	['jæŋzɪ] River dolphin  白鳍豚
koala	[kəʊˈɑ:lə] n. 树袋熊；考拉
stir	[stɜ:(r)] vt. 激发；搅动
emotion	[ɪˈməʊʃn] n. 感情；情感；情绪
skin	[skɪn] n. 皮；皮肤
unusual	[ʌnˈju:ʒuəl] adj. 特别的；不寻常的
illegally	adv. 不合法地；非法地
on earth	（放在疑问词之后表示强调）究竟；到底
die out	灭亡；逐渐消失
alarm	vt. 使惊恐；使害怕；使担心 n. 恐慌；警报；警报器
rating	n. 等级；级别
aware of	意识到；知道
on average	平均
concerned about	对……关切的；为……担忧的
living	adj. 居住的；活的；在用的 n. 生活；生计
adapt to	适应
under pressure	在压力下；承受压力
make out	看清；听清；分清
remind sb of	sb/sth  使某人想起（类似的人或物）
watch over	保护；照管；监督
day and night	日日夜夜；夜以继日
due	[dju:]adj. 由于；因为
due to	由于；因为
net	n. = Internet；网 adj. 净得的；纯的
bird	field [fi:ld] guide  [gaɪd] 鸟类图鉴
for	搜索；查找
river dolphin	白鳍豚
stir up	激起
