lantern	[ˈlæntən] n. 灯笼；提灯
carnival	[ˈkɑ:nɪvl] n. 狂欢节；嘉年华
march	[mɑ:tʃ] vi. & n. 行进；前进；示威游行
congratulation	[kənˌgrætʃuˈleɪʃn] n. 祝贺；恭喜
congratulate	[kənˈgrætʃuleɪt] vt. 向（某人）道贺；（因某事）为自己感到自豪
riddle	[ˈrɪdl] n. 谜语；神秘事件
ceremony	[ˈserəməni] n. 典礼；仪式
samba	[ˈsæmbə] n. 桑巴舞；桑巴舞曲
range	[reɪndʒ] n. 一系列；范围、界限 vi. 包括；（在一定范围内）变化
origin	[ˈɒrɪdʒɪn] n. 起源；起因；出身
religion	[rɪˈlɪdʒən] n. 宗教；宗教信仰
religious	[rɪˈlɪdʒəs] adj. 宗教的；笃信宗教的
figure	[ˈfɪgə(r)] n. 人物；数字；身材 vt. 认为；认定
charm	[tʃɑ:m] n. 魅力；迷人的特征；咒语
joy	[dʒɔɪ] n. 高兴；喜悦
joyful	[ˈdʒɔɪfl] adj. 高兴的；快乐的
gratitude	[ˈgrætɪtju:d] n. 感激之情；感谢
harvest	[ˈhɑ:vɪst] n. 收获季节；收获；收成 vi. & vt. 收割（庄稼）；捕猎（动物、鱼）
agricultural	[ˌæɡrɪ'kʌltʃərəl] adj. 农业（劳动/生产）
agriculture	[ˈægrɪkʌltʃə(r)] n. 农业；农艺
crop	[krɒp] n. 庄稼；作物；一季的收成
gather	[ˈgæðə(r)] vi. 聚集；集合 vt. 聚集；搜集；收割
grateful	[ˈgreɪtfl] adj. 感激的；表示感谢的
feature	[ˈfi:tʃə(r)] vt. 以……为特色 n. 特色；特征；特点
decorate	[ˈdekəreɪt] vt. 装饰；装潢
church	[tʃɜ:tʃ] n. （基督教的）教堂；礼拜堂
significant	[sɪgˈnɪfɪkənt] adj. 有重大意义的；显著的
fade	[feɪd] vi. & vt. 逐渐消失；（使）褪色；（身体）变得虚弱
typical	[ˈtɪpɪkl] adj. 典型的；有代表性的；平常的
firecracker	[ˈfaɪəkrækə(r)] n. 鞭炮；爆竹
evil	[ˈi:vl] adj. 邪恶的；有害的；罪恶的 n. 邪恶；罪恶；恶行
in spite	[spaɪt] of  不管；尽管
commercial	[kəˈmɜ:ʃl] adj. 商业（化）的；以获利为目的的
commercialise	[kə'mɜ:ʃəlaɪz] (NAmE also -ize) vt. 使商业化；利用……牟利
commercialisation	[kəˌmɜ:ʃəlaɪ'zeɪʃən] (NAmE also -ization) n. 商业化
take advantage	[ədˈvɑ:ntɪdʒ] of  利用；欺骗；占……的便宜
medium	[ˈmi:diəm] n. (pl. media) 媒介；手段；方法 adj. 中等的；中号的
the media	[ˈmi:diə] 大众传播媒介
reflect	[rɪˈflekt] vt. 显示；反映；反射
belief	[bɪˈli:f] n. 信仰；信心；信任
faith	[feɪθ] n. 宗教信仰；信任；相信
occasion	[əˈkeɪʒn] n. 特别的事情（或仪式、庆典）；（适当的）机会
atmosphere	[ˈætməsfɪə(r)] n. 气氛；氛围；（地球的）大气（层）
lunar	[ˈlu:nə(r)] adj. 阴历的；月球的；月亮的
eve	[i:v] n. 前夕；前一天
envelope	[ˈenvələʊp] n. 信封；塑料封套
christmas	[ˈkrɪsməs] carol  [ˈkærəl]  圣诞颂歌
merry	[ˈmeri] adj. 愉快的；高兴的
pumpkin	[ˈpʌmpkɪn] n. 南瓜
pudding	[ˈpʊdɪŋ] n. 布丁；（餐末的）甜食
mashed	[mæʃt] potatoes  土豆泥
roast	[rəʊst] adj. 烤的；焙的 vi. & vt. 烘烤；焙
turkey	[ˈtɜ:ki] n. 火鸡；火鸡肉
pleased	[pli:zd] adj. 高兴的；满意的
