diverse	[daɪˈvɜ:s] adj. 不同的；多种多样的
diversity	[daɪˈvɜ:səti] n. 差异（性）；不同（点）；多样性
fortune	[ˈfɔ:tʃu:n] n. 机会；运气
gumbo	[ˈgʌmbəʊ] n. 秋葵汤（用秋葵做的浓鸡汤或海鲜汤）
nachos	['nɑ:tʃəʊ] n. [pl.] 墨西哥玉米片
chip	[tʃɪp] n. （英）炸土豆条；（美）炸薯片；芯片；碎片
cheese	[tʃi:z] n. 干酪；奶酪
spicy	[ˈspaɪsi] adj. 加有香料的；辛辣的
ethnic	[ˈeθnɪk] adj. 具有民族特色的；异国风味的；民族的；种族的
admit	[ədˈmɪt] vi. & vt. 承认 vt. 准许进入（或加入）
definitely	[ˈdefɪnətli] adv. 肯定；确实
occur	[əˈkɜ:(r)] vi. 发生；出现
downtown	[ˌdaʊnˈtaʊn] adv. 在市中心；往市中心
mission	[ˈmɪʃn] n. 传教（区）；重要任务；使命
district	[ˈdɪstrɪkt] n. 地区；区域
graffiti	[ɡrəˈfiti] n. [pl.] 涂鸦；乱写乱画
comic	[ˈkɑmɪk] n. 连环画杂志；漫画杂志；喜剧演员 adj. 滑稽的；使人发笑的
afterwards	[ˈɑ:ftəwədz] (NAmE usually afterward) adv. 以后；后来
historical	[hɪˈstɒrɪkl] adj. （有关）历史的
seek	[si:k] vt. & vi. (sought, sought) 寻找；寻求；争取；（向人）请求
s fortune	[ˈfɔ:tʃu:n] 寻找成功致富之路；闯世界
earn	[ɜ:n] vt. & vi. 挣得；赚得；赢得；博得
immigrant	[ˈɪmɪgrənt] n. （外来）移民；外侨
select	[sɪˈlekt] vt. 选择；挑选；选拔
china	['tʃaɪnə] n. 瓷；瓷器
jazz	[dʒæz] n. 爵士乐
bar	[bɑ:(r)] n. 酒吧；小吃店；小馆子
diagram	[ˈdaɪəgræm] n. 简图；图解；图表；示意图
journal	[ˈdʒɜ:nl] n. 日志；日记；报纸；刊物
claim	[kleɪm] vt. & n. 夺取（生命）；宣称，断言
minority	[maɪˈnɒrəti] n. 少数民族；少数派；少数人
escape	[ɪˈskeɪp] vi. & vt. 逃走；逃脱；避开 n. 逃跑；逃脱；解脱
atlantic	[ət'læntɪk] adj. 大西洋的
financial	[faɪˈnænʃl] adj. 财政的；财务的；金融的
poetry	[ˈpəʊətri] n. 诗集；诗歌；诗作
jeans	[dʒi:nz] n. 牛仔裤
boot	[bu:t] n. 靴子
mushroom	[ˈmʌʃrʊm] n. 蘑菇；蕈
poisonous	[ˈpɔɪzənəs] adj. 引起中毒的；有毒的；分泌毒素的
poison	[ˈpɔɪzn] n. 毒物；毒药；毒素 vt. 毒死；毒害
fold	[fəʊld] vt. 包；裹；折叠 vt. & vi. （可）折小；（可）叠平
super	[ˈsu:pə(r)] adv. 特别；格外 adj. 顶好的；超级的
collection	[kəˈlekʃn] n. 作品集；收集物；收藏品
accessory	[əkˈsesəri] n. 配饰；附件；配件
souvenir	[ˌsu:vəˈnɪə(r)] n. 纪念物；纪念品
percentage	[pəˈsentɪdʒ] n. 百分率；百分比
climate	[ˈklaɪmət] n. 气候
mild	[maɪld] adj. 温和的；和善的；轻微的
settle	[ˈsetl] vt. & vi. 定居；结束（争论）；解决（纠纷）
construction	[kənˈstrʌkʃn] n. 建筑；建造；建造物；（句子、短语等的）结构
material	[məˈtɪəriəl] n. 材料；布料；素材 adj. 物质的；实际的
tai chi	[ˌtaɪ 'tʃiː] (also t’ai chi) n. 太极拳
clothing	[ˈkləʊðɪŋ] n. 衣服；服装
herbal	[ˈhɜ:bl] adj. 药草的；香草的
suit	[su:t] vt. 适合；满足……需要；相配；合身 n. 西服；套装
item	[ˈaɪtəm] n. 项目；一件商品（或物品）；一条（新闻）
contain	[kənˈteɪn] vt. 包含；含有；容纳
neat	[ni:t] adj. 极好的；整洁的；整齐的
fortune cookie	幸运曲奇
head to	（朝……）前进；（向……）去
earn a living	谋生
series of	一系列或一连串（事件）
apart from	(especially NAmE aside from) 除了……外（还）；此外
bring about	导致；引起
to name but a few	仅举几例
tai	chi [ˌtaɪ 'tʃiː] (also t’ai chi) n. 太极拳
first hand	第一手；亲自
