basis	[ˈbeɪsɪs] n. 基础；根据；基点
loan	[loʊn] n. 贷款；借款
plastic	[ˈplæstɪk] n. 塑料 adj. 塑料制的；塑料的
apologise	[ə'pɒlədʒaɪz] (also apologize) vi. 道歉；谢罪
ignore	[ɪgˈnɔ:(r)] vt. 忽视；对……不予理会
in return	[rɪˈtɜrn] 作为回报；作为回应
judge	[dʒʌdʒ] vt. & vi. 评价；评判；判断 n. 法官；审判员；裁判员
scene	[sin] n. （戏剧或歌剧的）场；现场；场面
narrator	[nəˈreɪtər] n. （书、戏剧或电影中的）叙述者；讲述者；（电视节目中的）幕后解说员
narration	[næˈreʃən] n. 叙述；讲述；解说
bet	[bet] n. 打赌；赌注 (bet, bet) vi. & vt. 下赌注；用……打赌 vt. 敢说
servant	[ˈsɜrvənt] n. 仆人；用人
as a matter	[ˈmætɚ] of fact  事实上；其实；说真的
by accident	[ˈæksɪdənt] 偶然地；意外地
sail	[seɪl] vi. & vt. （船）航行；（人）乘船航行
spot	[spɒt] vt. 看见；注意到；发现 n. 地点；处所；斑点；污迹
consulate	[ˈkɒnsjələt] n. 领事馆
dare	[der] vi. & modal v. 胆敢；敢于
sort	[sɔrt] n. 种类；类别
mining	[ˈmaɪnɪŋ] n. 采矿；采矿业
patience	[ˈpeɪʃns] n. 耐心；忍耐力；毅力
to be honest	[ˈɒnɪst] 说实话；坦率地说
ought	[ɔ:t] to  应该；应当
indicate	[ˈɪndɪkeɪt] vt. & vi. 表明；显示 vt. 象征；暗示
beneath	[bɪˈniθ] adv. & prep. 在（或往）……下面；在……的表面之下
postpone	[poʊˈspoʊn] vt. 延迟；延期；延缓
odd	[ɒd] adj. 奇怪的；怪异的；反常的
obligation	[ˌɒblɪˈgeɪʃn] n. 义务；职责；责任
intention	[ɪnˈtɛnʃən] n. 打算；计划；意图；目的
nowhere	[ˈnoʊwer] adv. 无处；哪里都不
in case	[in keis] 以防；以防万一
extent	[ɪkˈstent] n. 程度；限度；大小；范围
opera	[ˈɒprə] n. 歌剧
musical	[ˈmjuzɪkl] n. 音乐剧 adj. 音乐的
dinosaur	[ˈdaɪnəˌsɔr] n. 恐龙
hug	[hʌɡ] vt. & vi. 拥抱；抱紧
pursue	[pərˈsu] vt. 追求；致力于
duty	[ˈdju:ti] n. 责任；义务；职责；值班
hesitate	['hezɪteɪt] vi. 犹豫；迟疑；顾虑
sequence	[ˈsi:kwəns] vt. 按顺序排列 n. 顺序；一系列
eventually	[ɪˈvɛntʃuəli] adv. 最后；终于
tailor	[ˈteɪlə(r)] n. （男装）裁缝 vt. 专门制作；定做
clerk	[ klɑːk] n. 职员；文书；店员
manner	[ˈmænɚ] n. 举止；行为方式；方法；[pl.] 礼貌；礼仪
downstairs	[ˌdaʊnˈsteəz] adv. 顺楼梯而下；在楼下；往楼下
stair	[steə(r)] n. 楼梯；梯级
aside	[əˈsaɪd] adv. 到旁边；在旁边；留；存
frown	[fraʊn] n. & vi. 皱眉
option	[ˈɒpʃn] n. 可选择的事物；选择；选择权
indeed	[ɪnˈdi:d] adv. 其实；实际上；当然；确实
normal	[ˈnɔ:ml] adj. 典型的；正常的；一般的；精神正常的 n. 常态；通常标准；一般水平
willing	[ˈwɪlɪŋ] adj. 愿意；乐意
element	[ˈɛləmənt] n. 要素；基本部分
plot	[plɒt] n. 故事情节；布局；阴谋
ambassador	[æmˈbæsədə(r)] n. 大使；使节；代表
upper-class	['ʌpəklɑ:s] adj. 上流社会的；上等阶层的
upper	[ˈʌpə(r)] adj. 上面的；上层的；靠上部的
maintain	[meɪnˈteɪn] vt. 维持；保持；维修；保养
permission	[pəˈmɪʃn] n. 准许；许可；批准；许可证
permit	[pəˈmɪt , ˈpɜːmɪt] vt. & vi. 允许；准许；使有可能
external	[ ɪkˈstɜːnl] adj. 外部的；外面的；外来的
on the basis of	在某事的基础上；根据某事
take out a loan	取得贷款
make a bet	打个赌
as a	matter [ˈmætɚ] of fact  事实上；其实；说真的
by	accident [ˈæksɪdənt] 偶然地；意外地
modal	v. 胆敢；敢于
to be	honest [ˈɒnɪst] 说实话；坦率地说
to	应该；应当
be about to do sth	即将或正要（做某事）
in	case [in keis]  以防；以防万一
on duty	值班；值勤
in a	... manner  以一种……的方式；带着一副……的样子
in that case	既然那样；假使那样的话
broad	adj. 宽阔的；广阔的；广泛的
be willing to do sth	愿意或乐意做某事
the upper class	上流社会；上等阶层
