hybrid	[ˈhaɪbrɪd] n. 杂交植（动）物；合成物；混合动力车
devote	[dɪˈvoʊt] vt. 把……献（给）；把……专用于；专心于
shortage	[ˈʃɔrtɪdʒ] n. 不足；缺少；短缺
tackle	[ˈtækəl] vt. 解决（难题）；应付（局面）；处理
crisis	[ˈkraɪsɪs] n. (pl. crises) 危机；危急关头
boost	[bust] vt. 使增长；使兴旺 n. 增长；提高；激励
convince	[kənˈvɪns] vt. 使相信；使确信；说服
characteristic	[ˌkærəktəˈrɪstɪk] n. 特征；特点；品质 adj. 典型的；独特的
attain	[əˈten] vt. （通常经过努力）获得；得到
conventional	[kənˈvɛnʃənəl] adj. 传统的；习惯的
pollinate	[ˈpɑləneɪt] vt. 授粉；传粉
assumption	[əˈsʌmpʃən] n. 假定；设定；（责任的）承担；（权利的）获得
intense	[ɪnˈtɛns] adj. 热切的；十分强烈的；激烈的
overcome	[ˌoʊvərˈkʌm] vt. (overcame, overcame) 克服；解决；战胜
expand	[ɪkˈspænd] vt. & vi. 扩大；增加  vt. 扩展；发展（业务）
output	[ˈaʊtˌpʊt] n. 产量；输出；输出量 vt. (output, output) 输出
estimate	[ˈɛstəˌmet] vt. 估计；估价；估算 n. 估计；估算
domestic	[dəˈmɛstɪk] adj. 本国的；国内的；家用的；家庭的
consumption	[kənˈsʌmpʃən] n. 消耗；消耗量；消费
comprise	[kəmˈpraɪz] vt. 包括；包含；由……组成
generate	[ˈdʒɛnəˌret] vt. 产生；引起
strain	[stren] n. （动、植物的）系；品种；拉伤；压力
leisure	[ˈleʒə(r)] n. 闲暇；休闲；空闲
deep	[dip] down  在内心深处；本质上；实际上
soil	[sɔɪl] n. 泥土；土壤；国土；领土
celebrity	[səˈlɛbrɪti] n. 名望；名誉；名人；名流
envision	[ɛnˈvɪʒən] vt. 展望；想象
sorghum	[ˈsɔrgəm] n. 高粱；高粱米
broom	[bru:m] n. 扫把；扫帚；金雀花
grain	[greɪn] n. 谷物；谷粒；颗粒
vision	[ˈvɪʒən] n. 想象；视力；视野；影像
reality	[riˈælɪti] n. 现实；实际情况；事实
salty	[ˈsɔlti] adj. 含盐的；成的
urban	[ˈɜrbən] adj. 城市的；都市的；城镇的
bomb	[bɒm] n. 炸弹 vt. 轰炸；对……投炸弹
tunnel	[ˈtʌnəl] n. 地下通道；地道；隧道
extension	[ɪkˈstɛnʃən] n. 扩建部分；扩大；电话分机
chemical	[ˈkɛmɪkəl] adj. 与化学有关的；化学的 n. 化学制品；化学品
wheat	[wi:t] n. 小麦；小麦籽
flavour	[ˈflevɚ] (NAmE -vor) n. 味道；特点；特色
fertiliser	['fɜtɪlaɪzə] (NAmE -izer) n. 肥料
nutritional	[njuˈtrɪʃənl] adj. 营养（物）的
nutritious	[nuˈtrɪʃəs] adj. 有营养的；营养丰富的
nutrition	[njuˈtrɪʃn] n. 营养；滋养
alleviate	[əˈliviˌet] vt. 减轻；缓解
poverty	[ˈpɒvəti] n. 贫穷；贫困
organic	[ɔrˈgænɪk] adj. 有机的；不使用化肥的；有机物的
pesticide	[ˈpɛstɪˌsaɪd] n. 杀虫剂；除害药物
widespread	[ˈwaɪdˈsprɛd] adj. 分布广的；普遍的；广泛的
bacterium	[bækˈtɪriəm] n. (pl. -ria) 细菌
in turn	[ɪn tɚn] 相应地；转而；依次；轮流
digest	[daɪˈdʒest] vt. & vi. 消化 vt. 领会；领悟 n. 摘要；文摘
essential	[ɪˈsɛnʃəl] adj. 完全必要的；极其重要的
mineral	[ˈmɪnərəl] n. 矿物；矿物质
alternative	[ɔlˈtɜrnətɪv] n. 可供选择的事物 adj. 可供替代的；非传统的
grocery	[ˈgroʊsəri] n. 食品杂货店；[pl.] 食品杂货
instance	[ˈɪnstəns] n. 例子；实例；事例
depth	[dɛpθ] n. 向下（或向里）的距离；深（度）
root	[ru:t] n. 根；根茎；根部；根源
entirely	[ɪnˈtaɪərli] adv. 全部地；完整地；完全地
aspect	[ˈæspɛkt] n. 方面；层面
yield	[jild]n. 产量；产出 vt. 出产（作物）；产生（收益、效益等） vi. 屈服；让步
be comprised of	包括；包含；由……组成（或构成）
down	在内心深处；本质上；实际上
name	-izer) n. 肥料
in	turn [ɪn tɚn] 相应地；转而；依次；轮流
for instance	例如；比如
