cuisine	[kwɪˈzi:n] n. 菜肴；风味；烹饪
prior	[ˈpraɪə(r)] adj. 先前的；优先的
consist	[kənˈsɪst] vi. 由……组成，由……构成；在于，存在于
pepper	[ˈpepə(r)] n. 甜椒；灯笼椒；胡椒粉
recipe	[ˈresəpi] n. 烹饪法；食谱
bold	[bəʊld] adj. 大胆自信的；敢于冒险的
chef	[ʃef] n. 厨师；主厨
peppercorn	[ˈpepəkɔ:n] n. 胡椒粒
vinegar	[ˈvɪnɪgə(r)] n. 醋
stuff	[stʌf] vt. 填满；把……塞进 n. 东西；物品
slice	[slaɪs] n. （切下的食物）薄片 vt. 把……切成薄片
onion	[ˈʌnjən] n. 洋葱；葱头
lamb	[læm] n. 羊羔肉；羔羊
lamb kebab	[kɪˈbæb] 烤羊肉串
elegant	[ˈelɪgənt] adj. 精美的；讲究的；文雅的
dim sum	[ˌdɪm ˈsʌm] n. 点心（中国食品）
exceptional	[ɪkˈsepʃənl] adj. 特别的；罕见的
minimum	[ˈmɪnɪməm] n. 最小值；最少量 adj. 最低（限度）的；最小的
consume	[kənˈsju:m] vt. 吃；喝；饮；消耗
temper	[ˈtempə(r)] n. 脾气；火气
vegetarian	[ˌvedʒəˈteəriən] n. 素食者
junk	[dʒʌŋk] n. 无用的东西
garlic	[ˈgɑ:lɪk] n. 蒜
bacon	[ˈbeɪkən] n. 熏猪肉；咸肉
ham	[hæm] n. 火腿
sausage	[ˈsɒsɪdʒ] n. 香肠；腊肠
cabbage	[ˈkæbɪdʒ] n. 甘蓝；卷心菜；洋白菜
bean curd	[bi:n kɜ:d] n. (=tofu) 豆腐
brand	[brænd] n. 品牌
olive	[ˈɒlɪv] n. 油橄榄；橄榄树
fig	[fɪg] n. 无花果
ingredient	[ɪnˈgri:diənt] n. （尤指烹饪）材料；成分
dessert	[dɪˈzɜ:t] n. （饭后）甜点
dough	[dəʊ] n. 生面团
haggis	[ˈhægɪs] n. （苏格兰）羊杂碎肚
canteen	[kænˈti:n] n. 食堂；餐厅
cafeteria	[ˌkæfəˈtɪəriə] n. 自助餐厅；自助食堂
bun	[bʌn] n. 圆面包；小圆甜饼
chilli	['tʃɪlɪ] n. (NAmE chili) (pl. -es) 辣椒
pork	[pɔ:k] n. 猪肉
pearl	[pɜ:l] n. 珍珠
madam	[ˈmædəm] n. 夫人；女士
calorie	[ˈkæləri] n. 卡路里（热量单位）
association	[əˌsəʊʃiˈeɪʃn] n. 协会；关联
regardless	[rɪˈgɑ:dləs] adv. 不顾；不加理会
category	[ˈkætəgəri] n. 类别；种类
vitamin	[ˈvɪtəmɪn] n. 维生素
fibre	[ˈfaɪbə(r)] (especially US fiber) n. 纤维；纤维制品
quantity	[ˈkwɒntəti] n. 数量；数额
dairy	[ˈdeəri] adj. 奶制的；乳品（业）的 n. 乳制品；乳品店；牛奶厂
moderation	[ˌmɒdəˈreɪʃn] n. 适度；合理
ideal	[aɪˈdi:əl] adj. 完美的；理想的；想象的 n. 理想；完美的人（或事物）
fundamental	[ˌfʌndəˈmentl] adj. 根本的；基础的；基本的 n. 基本规律；根本法则
chew	[tʃu:] vi. & vt. 咀嚼；嚼碎 n. 咀嚼
consistent	[kənˈsɪstənt] adj. 一致的；连续的
modest	[ˈmɒdɪst] adj. 些许的；谦虚的；朴素的
trick	[trɪk] n. 诀窍；计谋；把戏
overall	[ˌəʊvərˈɔ:l] adv. 总体上；大致上 adj. 全面的；综合的
prior to	在……之前的
consist of	由……组成（或构成）
junk food	(=junk) 垃圾食品
bean	curd [bi:n kɜ:d]  n. (=tofu) 豆腐
red	braised [breɪzd]pork  红烧肉
somewhat	adv. 有点；稍微
regardless of	不管；不顾
especially us	fiber) n. 纤维；纤维制品
