airline	[ˈeəlaɪn] n. 航空公司
bay	[beɪ] n. （海或湖的）湾
craft	[krɑ:ft] n. 手艺；工艺；技艺
antique	[ænˈti:k] n. 古物；古董 adj. 古老的；古董的
pleasant	[ˈpleznt] adj. 令人愉快的；友好的
arise	[əˈraɪz] vi. (arose, arisen) 起身；出现；由……引起
massive	[ˈmæsɪv] adj. 巨大的；非常严重的
literally	[ˈlɪtərəli] adv. 字面上；真正地
breath	[breθ] n. 呼吸的空气
bound	[baʊnd] adj. 准备前往（某地）；一定会
scenery	[ˈsi:nəri] n. 风景；景色
awesome	[ˈɔ:səm] adj. 令人惊叹的；可怕的；很好的
spectacular	[spekˈtækjələ(r)] adj. 壮观的；壮丽的；惊人的 n. 壮丽的场面；精彩的表演
peak	[pi:k] n. 顶峰；山峰；尖形
highlight	[ˈhaɪlaɪt] n. 最好或最精彩的部分 vt. 突出；强调；使醒目
goat	[gəʊt] n. 山羊
grizzly	['grɪzlɪ] bear  n. 灰熊
drill	[drɪl] vi. & vt. 钻（孔）；打（眼） n. 钻（头）；训练；演习
freezing	[ˈfri:zɪŋ] adj. 极冷的；冰冻的
freeze	[fri:z] vi. & vt. (froze, forzen) 结冰；（使）冻住
mall	[mɔ:l] n. (also shopping mall) 购物商场；购物广场
prairie	[ˈpreəri] n. 北美草原
anticipate	[ænˈtɪsɪpeɪt] vt. 预料；预见；期望
bunch	[bʌntʃ] n. 束；串；捆
thunder	[ˈθʌndə(r)] vi. 打雷；轰隆隆地响；轰隆隆地快速移动 n. 雷声；轰隆声
frost	[frɒst] n. 霜；严寒天气；霜冻 vt. 使蒙上霜 vi. 结霜
curtain	[ˈkɜ:tn] n. 窗帘
border	[ˈbɔ:də(r)] n. 国界；边界（地区）
duration	[djuˈreɪʃn] n. 持续时间；期间
harbour	['hɑ:bə(r)] (especially US harbor) n. （海）港；港口
enrol	[ɪnˈrəʊl] (especially US enroll) vi. & vt. （使）加入；注册；登记
quarry	[ˈkwɒri] n. 采石场
idiom	[ˈɪdiəm] n. 习语；成语
contrary	[ˈkɒntrəri] adj. 相反的；相对立的 n. 相反的事实（或事情）
alongside	[əˌlɒŋˈsaɪd] prep. 在……旁边；与……一起 adv. 在旁边
proceed	[prəˈsi:d] vi. 行进；继续做
shore	[ʃɔ:(r)] n. 岸；滨
astonish	[əˈstɒnɪʃ] vt. 使十分惊讶；使吃惊
misty	[ˈmɪsti] adj. 多雾的；模糊的
mist	[mɪst] n. 薄雾；水汽
steel	[sti:l] n. 钢；钢铁工业
dusk	[dʌsk] n. 黄昏；傍晚
advertisement	[ədˈvɜ:tɪsmənt] n. (informal ad) 广告；启事
accent	[ˈæksent] n. 口音
photographer	[fəˈtɒgrəfə(r)] n. 摄影师；拍照者
owe	[əʊ] vt. 欠（账、债、情等）
toast	[təʊst] n. 烤面包片；吐司；干杯 vt. 为……干杯 vi. 烤（尤指面包）
cobblestone	[ˈkɔbləstəun] adj. 铺有鹅卵石的
coherent	[kəʊˈhɪərənt] adj. 有条理的；清楚易懂的
take	sb’s breath away  令人惊叹
bear	n. 灰熊
freezing cold	极冷的；冻僵的
a bunch of	一束；一串；一群；大量
especially us	harbor) n. （海）港；港口
contrary to	相反的；相对立的
anyhow	adv. （结束交谈或转换话题时）不过；反正
proceed to sth	进而做（参加）
owe sth to sb	欠（某人情）；把……归功于某人
