drama	[ˈdrɑ:mə] n. 戏；剧；戏剧艺术
sorrow	[ˈsɒrəʊ] n. 悲伤；悲痛；伤心事 vi. 感到悲伤
imagery	[ˈɪmɪdʒəri] n. 形象的描述；意象；像
literary	[ˈlɪtərəri] adj. 文学的；爱好文学的；有文学作品特征的
rhyme	[raɪm] n. 押韵词；押韵的短诗 vi. & vt. （使）押韵
rhythm	[ˈrɪðəm] n. 节奏；韵律；规律
nursery	[ˈnɜ:səri] adj. 幼儿教育的 n. 托儿所；保育室
folk	[fəʊk] adj. 民间的；民俗的；普通百姓的
mockingbird	[ˈmɒkɪŋbɜ:d] n. 嘲鸫（美洲鸣禽，能模仿别种鸟的鸣叫）
diamond	[ˈdaɪəmənd] n. 钻石；金刚石；菱形
brass	[brɑ:s] n. 黄铜；黄铜制品；铜管乐器
billy	[ˈbɪli] goat  [gəʊt]  n. 公山羊
bull	[bʊl] n. 公牛
recite	[rɪˈsaɪt] vt. 背诵；吟诵；列举
bee	[biː] n. 蜜蜂
dewdrop	[ˈdju:drɒp] n. 露珠；水珠
dawn	[dɔ:n] n. 黎明；开端；萌芽
clover	[ˈkləʊvə(r)] n. 三叶草
butterfly	[ˈbʌtəflaɪ] n. 蝴蝶
lawn	[lɔ:n] n. 草坪，草地
amateur	[ˈæmətə(r)] n. 业余爱好者 adj. 业余的；业余爱好的
cinquain	[sɪŋ'keɪn] n. 五行诗
mood	[mu:d] n. 情绪；心情；语气
tease	[ti:z] vi. & vt. 取笑（某人）；揶揄；逗弄
haiku	[ˈhaɪku:] n. 俳句
syllable	[ˈsɪləbl] n. 音节
format	[ˈfɔ:mæt] n. 格式；总体安排；（出版物的）版式 vt. 格式化
respectively	[rɪˈspektɪvli] adv. 分别；各自；依次为
blossom	[ˈblɒsəm] n. 花朵；花簇
delicate	[ˈdelɪkət] adj. 精美的；精致的；脆弱的
await	[əˈweɪt] vt. 等待；期待；将发生在
revolve	[rɪˈvɒlv] vi. 旋转；环绕；转动
utter	[ˈʌtə(r)] vt. 出声；说；讲 adj. 完全的；十足的；彻底的
comprehension	[ˌkɒmprɪˈhenʃn] n. 理解力；领悟力；理解练习
shelf	[ʃelf] n. (pl. shelves) 架子；搁板
core	[kɔ:(r)] n. 核心；精髓；（水果的）核儿
cherry	[ˈtʃeri] n. 樱桃；樱桃树；樱桃色 adj. 樱桃色的；鲜红色的
blank	[blæŋk] adj. 空白的；无图画（或韵律、装饰）的；没表情的 n. 空白；空格
verse	[vɜ:s] n. 诗；韵文；诗节
civilian	[səˈvɪliən] n. 平民；老百姓
prose	[prəʊz] n. 散文
sympathetic	[ˌsɪmpəˈθetɪk] adj. 同情的；有同情心的；赞同的
sympathy	[ˈsɪmpəθi] n. 同情；赞同
version	[ˈvɜ:ʃn] n. 版本；（从不同角度的）说法
innocence	[ˈɪnəsns] n. 天真；单纯；无罪
innocent	[ˈɪnəsnt] adj. 天真无邪的；无辜的；无恶意的
era	[ˈɪərə] n. 时代；年代；纪元
correspondence	[ˌkɒrəˈspɒndəns] n. 来往信件；通信联系
correspond	[ˌkɒrəˈspɒnd] vi. 相一致；符合；相当于；通信
sow	[səʊ] vt. & vi. (sowed, sown or sowed) 播种；种
seed	[si:d] n. 种子；起源；萌芽
dominant	[ˈdɒmɪnənt] adj. 首要的；占支配地位的；显著的
sonnet	[ˈsɒnɪt] n. 十四行诗
deadline	[ˈdedlaɪn] n. 最后期限；截止日期
contest	[ˈkɒntest] n. 比赛；竞赛；竞争 vt. 争取赢得（比赛、选举等）；争辩
polish	[ˈpɒlɪʃ] vt. 修改；润色；抛光 n. 上光剂；抛光；擦亮
string	[strɪŋ] n. 细绳；线；一串 vt. (strung, strung) 悬挂；系 adj. 弦乐器的；线织的
wherever	[weərˈevə(r)] conj. 在任何地方；在所有……的情况下 adv.（用于问句）究竟在（到）哪里
barren	[ˈbærən] adj. 贫瘠的；不结果实的
grief	[gri:f] n. 悲伤；悲痛；伤心事
complicated	[ˈkɒmplɪkeɪtɪd] adj. 复杂的；难懂的
variation	[ˌveəriˈeɪʃn] n. 变化；变体；变奏曲
racial	[ˈreɪʃl] adj. 种族的；人种的
nursery rhyme	童谣；儿歌
be made up of	由……组成（构成）
respective	adj. 分别的；各自的
cherry blossom	樱花
