iconic	[aɪˈkɒnɪk] adj. 符号的；图标的
foundation	[faʊnˈdeɪʃn] n. 创建；基础；地基
political	[pəˈlɪtɪkl] adj. 政治的
didgeridoo	[ˌdɪdʒəriˈdu:] n. 迪吉里杜管
located	[ləʊˈkeɪtɪd] adj. 位于
equator	[ɪˈkweɪtə(r)] n. 赤道
koala	[kəʊˈɑ:lə] n. 考拉；树袋熊
barbecue	[ˈbɑ:bɪkju:] n. (abbr. BBQ) 户外烧烤；烤架
bakery	[ˈbeɪkəri] n. 面包（糕饼）店；面包厂
joint	[dʒɔɪnt] n. 公共场所（尤指价格低廉的饮食和娱乐场所）；关节 adj. 联合的；共同的
butcher	[ˈbʊtʃə(r)] n. 肉贩；屠夫；刽子手
premier	[ˈpremiə(r)] adj. 最著名的；第一的；首要的 n. 总理；首相
herb	[hɜ:b] n. 药草；香草；草本
hollow	[ˈhɒləʊ] adj. 中空的；空心的
vibrate	[vaɪˈbreɪt] vt. & vi. （使）振动
horn	[hɔ:n] n. （乐器）号
pitch	[pɪtʃ] n. 音高
straightforward	[ˌstreɪtˈfɔ:wəd] adj. 坦率的；简单的
slogan	[ˈsləʊgən] n. 标语；口号
minister	[ˈmɪnɪstə(r)] n. 部长；大臣；外交使节
prime	[praɪm] minister  首相；总理
frog	[frɒg] n. 蛙；青蛙
entitle	[ɪnˈtaɪtl] vt. 给……命名（或题名）；使享有权利
getaway	[ˈgetəweɪ] n. 适合度假的地方
dive	[daɪv] vi. & n. (dived/dove, dived) 潜水；跳水；俯冲
kayaking	[ˈkaɪˌæk] n. 划皮艇
peak	[pi:k] season  [ˈsi:zn]  高峰季节
freedom	[ˈfri:dəm] n. 自由；不受……影响的状态
domain	[dəˈmeɪn] n. 领域；领土；范围
sponsor	[ˈspɒnsə(r)] vt. 倡议；赞助；主办 n. （法案等的）倡议者；赞助者
liberty	[ˈlɪbəti] n. 自由
golf	[gɒlf] n. 高尔夫球运动
strait	[streɪt] n. 海峡
sample	[ˈsɑ:mpl] n. 样本；样品
monument	[ˈmɒnjumənt] n. 纪念碑（或馆、堂、像等）；历史遗迹
kiwi	[ˈki:wi:] n. 几维（新西兰鸟）
geyser	[ˈgi:zə(r)] n. 间歇泉
sulphuric	[sʌl'fjʊərɪk] pool  硫黄池
manuka	[mə'nu:kə] honey  麦卢卡蜂蜜
bungee	[ˈbʌndʒi] jumping  蹦极跳
a flock	[flɒk] of  一群（羊或鸟）
geothermal	[ˌdʒi:əʊˈθɜ:ml] park  地热公园
distribution	[ˌdɪstrɪˈbju:ʃn] n. 分布；分配；分发
pouch	[paʊtʃ] n. 育儿袋；小袋子；荷包
temporary	[ˈtemprəri] adj. 暂时的；短暂的
phase	[feɪz] n. 阶段；时期
trunk	[trʌŋk] n. 树干
licensed	[ˈlaɪsnst] adj. 得到正式许可的
license	[ˈlaɪsns] vt. 批准；许可 n. (=licence) 许可证；执照
session	[ˈseʃn] n. 一场；一段时间；会议
frequency	[ˈfri:kwənsi] n. 发生率；重复率；（声波或电磁波振动的）频率
violent	[ˈvaɪələnt] adj. 暴力的；猛烈的
violence	[ˈvaɪələns] n. 暴力；暴行
nest	[nest] n. 巢穴；鸟窝；秘密窝点
mammal	[ˈmæml] n. 哺乳动物
biology	[baɪˈɒlədʒi] n. 生理；生物学
hatch	[hætʃ] vi. 孵出；破壳 vt. 使孵出；策划；（尤指）密谋
capacity	[kəˈpæsəti] n. 能力；容量
a handful	[ˈhændfʊl] of  少数人（或物）；一把（的量）
fence	[fens] n. 栅栏；围栏
prison	[ˈprɪzn] n. 监狱；监禁
grand	[grænd] adj. 大；宏大的
dim sim	[ˌdɪm ˈsʌm]（特指澳大利亚的）点心
arrow	n. 箭；箭头
season	[ˈsi:zn]  高峰季节
pool	硫黄池
honey	麦卢卡蜂蜜
jumping	蹦极跳
a	flock [flɒk]  of  一群（羊或鸟）
