tale	[teɪl] n. 故事；叙述
merchant	[ˈmɜ:tʃənt] n. 商人；批发商 adj. 海上货运的
extend	[ɪkˈstend] vt. 扩展；使伸长；延长
negotiate	[nɪˈgəʊʃieɪt] vt. 商定；达成（协议） vi. 谈判；磋商；协商
fleet	[fli:t] n. 舰队；机群；车队
behold	[bɪˈhəʊld] vt. (beheld, beheld) 看；看见
league	[li:g] n. 等级；水平；联合会；联赛
royal	[ˈrɔɪəl] adj. 皇家的；王室的；高贵的
spice	[spaɪs] n. （调味）香料
withdraw	[wɪðˈdrɔ:] vi. & vt. (withdrew, withdrawn) （使）撤回；撤离
maritime	[ˈmærɪtaɪm] adj. 海的；海运的；海事的
bond	[bɒnd] n. 纽带；关系 vt. & vi. 增强信任关系；使牢固结合
politics	[ˈpɒlətɪks] n. 政治；政治观点
profession	[prəˈfeʃn] n. 职业；行业
tournament	[ˈtʊənəmənt] n. 锦标赛；联赛
mixture	[ˈmɪkstʃə(r)] n. 混合；结合体；混合物
laptop	[ˈlæptɒp] n. 笔记本电脑；便携式电脑
coverage	[ˈkʌvərɪdʒ] n. 新闻报道；覆盖范围
press	[pres] conference  [ˈkɒnfərəns] 记者招待会；新闻发布会
applaud	[əˈplɔ:d] vt. & vi. 鼓掌 vt. 称赞；赞赏
tax	[tæks] vt. 对……征税；使纳税 n. 税；税款
manned	[mænd] adj. 有人控制的；需人操纵的
submersible	[səbˈmɜ:səbl] n. 潜水器；可潜船
underwater	[ˌʌndəˈwɔ:tə(r)] adv. 在水下 adj. 水下的
capsule	[ˈkæpsju:l] n. 胶囊；太空舱
coral	[ˈkɒrəl] n. 珊瑚
migration	[maɪˈgreɪʃn] n. 迁移；迁徙；移居
directory	[dəˈrektəri] n. 名录；电话号码簿；（计算机文件或程序的）目录
meanwhile	[ˈmi:nwaɪl] adv. 与此同时；（比较两方面）对比之下
exploit	[ɪkˈsplɔɪt] vt. 开发；利用；剥削
gallon	[ˈgælən] n. 加仑 （容积单位，1英制加仑约等于4.5升）
murder	[ˈmɜ:də(r)] vt. 谋杀；凶杀；毁坏 n. 谋杀；凶杀
mercy	[ˈmɜ:si] n. 仁慈；宽恕；恩惠
possession	[pəˈzeʃn] n. [usually pl.] 个人财产；拥有；控制
opponent	[əˈpəʊnənt] n. 反对者；对手；竞争者
log	[lɒg] vt. 把……载入正式记录；记录 n. 正式记录；日志；原木
marine	[məˈri:n] adj. 海的；海产的；海生的
arrest	[əˈrest] n. 逮捕；拘留；中止 vt. 逮捕；拘留；阻止
set sail	起航；开航
in a league of	one’s own  独领风骚
withdraw from	退出；撤回
channel	n. 航道；海峡；频道
in hand	在手头；可供使用
