castle	[ˈkɑ:sl] n. 城堡；堡垒
apply	[əˈplaɪ] vi. & vt. 申请；请求 vt. 应用；涂（油漆、乳剂）
visa	['vizə] n. 签证
rent	[rɛnt] vt. 租用；出租 vi. 租用；租金为 n. 租金
pack	[pæk] vi. & vt. 收拾（行李） vt. 包装 n. （商品的）纸包；纸袋；大包
amazing	[ə'meɪzɪŋ] adj. 令人惊奇的；令人惊喜的
amazed	[əˈmeɪzd] adj. 惊奇的；惊喜的
arrangement	[əˈrendʒmənt] n. 安排；筹备
extremely	[ɪk'strimlɪ] adv. 极其；非常
source	[sɔrs] n. 来源；出处
narrow	[ˈnæroʊ] adj. 狭窄的 vi. & vt. （使）变窄
flat	[flæt] adj. 平坦的；扁平的 n. 公寓；单元房
powerful	[ˈpaʊərfl] adj. 强有力的；有权势的；有影响力的
empire	[ˈɛmˌpaɪr] n. 帝国
emperor	[ˈɛmpəɚ] n. 皇帝
site	[saɪt] n. 地点；位置；现场
take control	[kənˈtroʊl] of  控制；接管
official	[əˈfɪʃəl] adj. 官方的；正式的；公务的 n. 官员；要员
recognise	['rekəgnaɪz] (NAmE -ize) vt. 辨别出；承认；认可
type	[taɪp] n. 类型；种类 vi. & vt. 打字
flight	[flaɪt] n. 空中航行；航班；航程
accommodation	[əˌkɑməˈdeɪʃn] n. 住处；停留处；膳宿
unique	[juˈnik] adj. 唯一的；独特的；特有的
path	[pæθ] n. 小路；路线；道路
destination	[ˌdɛstəˈneʃən] n. 目的地；终点
other	[ˈʌðər] than  除……以外
admire	[ədˈmaɪr] vt. 钦佩；赞赏
architecture	[ˈɑrkɪtektʃə(r)] n. 建筑设计；建筑学
architect	[ˈɑrkɪtekt] n. 建筑设计师
brochure	[broʊˈʃʊr] n. 资料（或广告）手册
package	[ˈpækɪdʒ] n. 包裹；包装盒 vt. 将……包装好
package tour	[tʊə(r)] 包价旅游
contact	[ˈkɑntækt] vt. 联络；联系 n. 联系；接触
civilisation	[sɪvɪlaɪ'zeɪʃən] (NAmE -ization) n. 文明；文明世界
soldier	[ˈsoʊldʒə(r)] n. 士兵；军人
transport	[ˈtrænspɔrt] (especiallu BrE) (NAmE usually transportation) n. 交通运输系统 vt. 运输；运送
hike	[haɪk] vi. 徒步旅行 vt. 去……远足 n. 远足；徒步旅行
economy	[ɪˈkɒnəmi] n. 经济；节约
economic	[ˌikəˈnɑmɪk] adj. 经济（上）的；经济学的
credit	[ˈkrɛdɪt] n. 借款；信用；称赞；学分
detail	[dɪˈteɪl] n. 细节；详情；细微之处
check	[tʃɛk] in  （在旅馆、机场等）登记
request	[rɪˈkwɛst] n. （正式或礼貌的）要求；请求 vt. （正式或礼貌地）要求；请求
view	[vju] n. 视野；景色；看法
sight	[saɪt] n. 景象；视野；视力
statue	[ˈstætʃu] n. 雕塑；雕像
tomb	[tum] n. 坟墓
unearth	[ʌnˈɜrθ] vt. 挖掘；发掘
comment	[ˈkɒment] n. 议论；评论 vi. & vt. 发表意见；评论
apply for	申请
take	control [kənˈtroʊl] of  控制；接管
name	-ize) vt. 辨别出；承认；认可
make up	构成；形成
credit card	信用卡
in	（在旅馆、机场等）登记
check out	结账离开（旅馆等）
bce	(=before the Common Era) 公元前
