fitness	[ˈfɪtnɪs] n. 健康；健壮；适合
soccer	[ˈsɒkə(r)] n. 足球；足球运动
stadium	[ˈstediəm] n. (pl. stadiums or stadia) 体育场；运动场
boxing	[ˈbɒksɪŋ] n. 拳击（运动）
badminton	[ˈbædˌmɪntən] n. 羽毛球运动
marathon	[ˈmærəθɑn] n. 马拉松赛跑
event	[ɪˈvɛnt] n. 比赛项目；大事；公开活动
come along	[əˈlɔŋ] 跟随；到达；进步；赶快
ski	[ski] adj. 滑雪的 vi. 滑雪
host	[hoʊst] vt. 主办；主持 n. 主人；东道主；节目主持人
track	[træk] n. 跑道；足迹；铁路轨道 vt. & vi. 追踪；跟踪
track and field	[fild] 田径
gym	[dʒɪm] n. 健身房；体育馆
gymnastics	[dʒɪmˈnæstɪks] n. 体操（训练）
sweat	[swɛt] vt. 使出汗；出汗弄湿 vi. 出汗；流汗 n. 汗水；出汗
legend	[ˈlɛdʒənd] n. 传奇故事（或人物）；传说
athlete	[ˈæθˌlit] n. 运动员；运动健儿
master	[ˈmæstə(r)] n. 高手；主人 vt. 精通；掌握
set an example	[ɪgˈzæmpl] 树立榜样
honour	['ɒnə(r)] n. 荣誉；尊敬；荣幸
glory	[ˈglɔ:ri] n. 荣誉；光荣；赞美
medal	[ˈmedl] n. 奖章；勋章
championship	[ˈtʃæmpiənˌʃɪp] n. 锦标赛；冠军赛；冠军称号
champion	['tʃæmpɪən] n. 冠军；优胜者
determination	[dɪˌtɜrmɪˈneɪʃn] n. 决心；决定
apart	[əˈpɑrt] adv. 分离；分开；成碎片
injure	[ˈɪndʒɚ] vt. 使受伤；损害
injured	[ˈɪndʒərd] adj. 受伤的；有伤的
injury	[ˈɪndʒəri] n. 伤害；损伤
captain	[ˈkæptən] n. （运动队）队长；船长；机长
lose heart	[hɑrt] 丧失信心；泄气
graceful	[ˈɡresfəl] adj. 优美的；优雅的
strength	[streŋθ] n. 力量；体力
failure	['feɪljər] n. 失败；失败的人（或事物）
compete	[kəmˈpit] vi. 竞争；对抗
make sense	[sɛns] 有道理；合乎情理；表述清楚
pretend	[prɪˈtɛnd] vi. & vt. 假装；装扮
million	[ˈmɪljən] num. 一百万
cheat	[tʃit] vi. 作弊；舞弊 vt. 欺骗；蒙骗 n. 欺骗手段；骗子
audience	[ˈɔdiəns] n. 观众；听众
positive	[ˈpɒzətɪv] adj. 积极的；正面的；乐观的；肯定的
slim	[slɪm] adj. 苗条的；单薄的
make a difference	[ˈdɪfrəns] 有作用或影响
rather than	[ˈrɑ:ðə(r)] 而不是
jog	[dʒɒg] vi. 慢跑 n. 慢跑
stress	[stres] n. 压力；紧张；重音 vt. 强调；重读；使焦虑不安 vi. 焦虑不安
error	[ˈerə(r)] n. 错误；差错
stadiums or	stadia) 体育场；运动场
work out	锻炼；计算出；解决
make it	获得成功；准时到达
fall apart	破裂；破碎；崩溃
lose	heart [hɑrt] 丧失信心；泄气
give up	放弃；投降
make	sense [sɛns] 有道理；合乎情理；表述清楚
pretend to do sth	假装做某事
even	if/though  即使；虽然
diet	n. 规定饮食；日常饮食 vi. 节食
make a	difference [ˈdɪfrəns] 有作用或影响
rather	adv. 相当；有点儿
push-up	(especially NAmE) n. 俯卧撑
cut	... out  停止做（或使用、食用）；剪下
now and then	有时，偶尔
compare	[kəmˈper]... with/to ...  与……比较
