disaster	[dɪˈzæstə(r)] n. 灾难；灾害
tornado	[tɔrˈneɪdoʊ] (pl. -oes or -os) n. 龙卷风；旋风
drought	[draʊt] n. 旱灾；久旱
landslide	[ˈlændˌslaɪd] n. (landfall)（山地或悬崖的）崩塌；滑坡
slide	[slaɪd] vi. & vt.（使）滑行；滑动
tsunami	[tsʊˈnɑmi] n. 海啸
flood	[flʌd] n. 洪水；大量 vi. 淹没；大量涌入 vt. 使灌满水；淹没
volcanic	[vɒlˈkænɪk] eruption [ɪˈrʌpʃən]  火山喷发
magnitude	[ˈmægnɪtud] n.（地）震级；重大
rescue	[ˈrɛskju] n. & vt. 营救；救援
damage	[ˈdæmɪdʒ] vt. 损害；破坏 n. 损坏；损失
destroy	[dɪˈstrɔɪ] vt. 摧毁；毁灭
evacuate	[ɪˈvækjuˌet] vt. 疏散；撤出 vi. 撤离
helicopter	[ˈhelɪkɑptə(r)] n. 直升机
death	[deθ] n. 死；死亡
affect	[əˈfɛkt] vt. 影响；（疾病）侵袭；深深打动
shelter	[ˈʃɛltɚ] n. 避难处；居所；庇护 vt. 保护；掩蔽 vi. 躲避（风雨或危险）
crack	[kræk] n. 裂纹；裂缝 vi. & vt. （使）破裂
ruin	[ˈruɪn] n. & vt. 破坏；毁坏
percent	[pɚ sɛnt] n. 百分之…… adj. & adv. 每一百中
brick	[brɪk] n. 砖；砖块
metal	[ˈmɛtl] n. 金属
shock	[ʃɒk] n. 震惊；令人震惊的事；休克 vt. （使）震惊
electricity	[ɪˌlekˈtrɪsəti] n. 电；电能
trap	[træp] vt. 使落入险境；使陷入圈套 n. 险境；陷阱
bury	[ˈbɛri] vt. 埋葬；安葬
breathe	[brið] vi. & vt. 呼吸
revive	[rɪˈvaɪv] vt. & vi. 复活；（使）苏醒
revival	[rɪˈvaɪvəl] n. 振兴；复苏
effort	[ˈefərt] n. 努力；艰难的尝试；尽力
unify	[ˈjunəˌfaɪ] vi. & vt. 统一；（使）成一体
wisdom	[ˈwɪzdəm] n. 智慧；才智
context	[ˈkɑntekst] n. 上下文；语境；背景
suffer	[ ˈsʌfɚ] vt. 遭受；蒙受 vi. （因疾病、痛苦、悲伤等）受苦
volcano	[vɒlˈkeɪnəʊ] (pl. -oes or -os) n. 火山
erupt	[ɪˈrʌpt] vi. & vt.（火山）爆发；（岩浆、烟等）喷出
supply	[səˈplaɪ] n. 供应（量）；补给；[pl.] 补给品 vt. 供应；供给
typhoon	[taɪˈfun] n. 台风
hurricane	[ˈhɜrəkən] n. （尤指西大西洋的）飓风
survive	[sərˈvaɪv] vi. 生存；存活 vt. 幸存；艰难度过
power	[ˈpaʊɚ] n. 电力供应；能量；力量；控制力
tap	[tæp] vi. & vt. 轻叩；轻敲；轻拍 n. 水龙头；轻叩；轻敲
pipe	[paɪp] n. 管子；管道
whistle	[ˈwɪsl] vi. 吹口哨；发出笛声 vt. 吹口哨 n. 哨子（声）；呼啸声
emergency	[iˈmɜrdʒənsi] n. 突发事件；紧急情况
calm	[kɑm] adj. 镇静的；沉着的 vt. 使平静；使镇静
aid	[ed] n. 援助；帮助；救援物资 vi. & vt. (formal) 帮助；援助
kit	[kɪt] n. 成套工具；成套设备
crash	[kræʃ] vt. & vi. 碰撞；撞击 n. 撞车；碰撞
sweep	[swip] vt. & vi. (swept, swept) 打扫；清扫
wave	[wev] n. 海浪；波浪 vi. & vt. 挥手；招手
strike	[straɪk] vi. & vt. （struck, struck/stricken）侵袭；突击；击打 n. 罢工；罢课；袭击
deliver	[dɪˈlɪvɚ] vt. & vi. 递送；传达 vt. 发表
summary	[ˈsʌməri] n. 总结；概括；概要
effect	[ɪˈfɛkt] n. 影响；结果；效果
length	[leŋθ] n. 长；长度
as if	似乎；好像；仿佛
in ruins	严重受损；破败不堪
in shock	震惊；吃惊
in the open air	露天；在户外
first aid kit	急救箱
on hand	现有（尤指帮助）
sweep away	消灭；彻底消除
